Freq.	V(n008)/i(v1)
1.08143395129794e+003	(2.39971791633736e+002dB,1.79980681790901e+002°)
1.08392691402120e+003	(2.39971791628274e+002dB,1.79980637257846e+002°)
1.08642562361706e+003	(2.39971791622787e+002dB,1.79980592622132e+002°)
1.08893009333343e+003	(2.39971791617275e+002dB,1.79980547883522e+002°)
1.09144033644875e+003	(2.39971791611737e+002dB,1.79980503041779e+002°)
1.09395636627209e+003	(2.39971791606174e+002dB,1.79980458096666e+002°)
1.09647819614318e+003	(2.39971791600585e+002dB,1.79980413047943e+002°)
1.09900583943252e+003	(2.39971791594970e+002dB,1.79980367895372e+002°)
1.10153930954141e+003	(2.39971791589330e+002dB,1.79980322638714e+002°)
1.10407861990207e+003	(2.39971791583663e+002dB,1.79980277277729e+002°)
1.10662378397766e+003	(2.39971791577970e+002dB,1.79980231812176e+002°)
1.10917481526240e+003	(2.39971791572251e+002dB,1.79980186241814e+002°)
1.11173172728159e+003	(2.39971791566506e+002dB,1.79980140566402e+002°)
1.11429453359173e+003	(2.39971791560734e+002dB,1.79980094785697e+002°)
1.11686324778056e+003	(2.39971791554935e+002dB,1.79980048899457e+002°)
1.11943788346715e+003	(2.39971791549110e+002dB,1.79980002907438e+002°)
1.12201845430196e+003	(2.39971791543257e+002dB,1.79979956809397e+002°)
1.12460497396692e+003	(2.39971791537378e+002dB,1.79979910605089e+002°)
1.12719745617551e+003	(2.39971791531472e+002dB,1.79979864294269e+002°)
1.12979591467279e+003	(2.39971791525538e+002dB,1.79979817876692e+002°)
1.13240036323555e+003	(2.39971791519577e+002dB,1.79979771352112e+002°)
1.13501081567231e+003	(2.39971791513588e+002dB,1.79979724720281e+002°)
1.13762728582343e+003	(2.39971791507572e+002dB,1.79979677980953e+002°)
1.14024978756117e+003	(2.39971791501528e+002dB,1.79979631133880e+002°)
1.14287833478977e+003	(2.39971791495456e+002dB,1.79979584178813e+002°)
1.14551294144553e+003	(2.39971791489356e+002dB,1.79979537115504e+002°)
1.14815362149688e+003	(2.39971791483228e+002dB,1.79979489943703e+002°)
1.15080038894443e+003	(2.39971791477071e+002dB,1.79979442663160e+002°)
1.15345325782109e+003	(2.39971791470887e+002dB,1.79979395273624e+002°)
1.15611224219210e+003	(2.39971791464673e+002dB,1.79979347774844e+002°)
1.15877735615512e+003	(2.39971791458431e+002dB,1.79979300166568e+002°)
1.16144861384034e+003	(2.39971791452160e+002dB,1.79979252448544e+002°)
1.16412602941049e+003	(2.39971791445861e+002dB,1.79979204620518e+002°)
1.16680961706096e+003	(2.39971791439532e+002dB,1.79979156682238e+002°)
1.16949939101987e+003	(2.39971791433174e+002dB,1.79979108633449e+002°)
1.17219536554813e+003	(2.39971791426786e+002dB,1.79979060473896e+002°)
1.17489755493953e+003	(2.39971791420369e+002dB,1.79979012203324e+002°)
1.17760597352080e+003	(2.39971791413923e+002dB,1.79978963821476e+002°)
1.18032063565173e+003	(2.39971791407446e+002dB,1.79978915328098e+002°)
1.18304155572516e+003	(2.39971791400940e+002dB,1.79978866722930e+002°)
1.18576874816716e+003	(2.39971791394404e+002dB,1.79978818005717e+002°)
1.18850222743701e+003	(2.39971791387838e+002dB,1.79978769176198e+002°)
1.19124200802737e+003	(2.39971791381241e+002dB,1.79978720234117e+002°)
1.19398810446427e+003	(2.39971791374614e+002dB,1.79978671179212e+002°)
1.19674053130724e+003	(2.39971791367956e+002dB,1.79978622011224e+002°)
1.19949930314937e+003	(2.39971791361267e+002dB,1.79978572729892e+002°)
1.20226443461741e+003	(2.39971791354548e+002dB,1.79978523334956e+002°)
1.20503594037179e+003	(2.39971791347798e+002dB,1.79978473826152e+002°)
1.20781383510678e+003	(2.39971791341016e+002dB,1.79978424203219e+002°)
1.21059813355048e+003	(2.39971791334203e+002dB,1.79978374465893e+002°)
1.21338885046497e+003	(2.39971791327359e+002dB,1.79978324613912e+002°)
1.21618600064636e+003	(2.39971791320483e+002dB,1.79978274647009e+002°)
1.21898959892486e+003	(2.39971791313576e+002dB,1.79978224564922e+002°)
1.22179966016487e+003	(2.39971791306636e+002dB,1.79978174367383e+002°)
1.22461619926504e+003	(2.39971791299665e+002dB,1.79978124054127e+002°)
1.22743923115840e+003	(2.39971791292661e+002dB,1.79978073624887e+002°)
1.23026877081238e+003	(2.39971791285625e+002dB,1.79978023079396e+002°)
1.23310483322890e+003	(2.39971791278556e+002dB,1.79977972417386e+002°)
1.23594743344450e+003	(2.39971791271455e+002dB,1.79977921638588e+002°)
1.23879658653036e+003	(2.39971791264321e+002dB,1.79977870742733e+002°)
1.24165230759241e+003	(2.39971791257155e+002dB,1.79977819729551e+002°)
1.24451461177138e+003	(2.39971791249955e+002dB,1.79977768598772e+002°)
1.24738351424294e+003	(2.39971791242722e+002dB,1.79977717350124e+002°)
1.25025903021771e+003	(2.39971791235455e+002dB,1.79977665983336e+002°)
1.25314117494141e+003	(2.39971791228155e+002dB,1.79977614498136e+002°)
1.25602996369487e+003	(2.39971791220821e+002dB,1.79977562894250e+002°)
1.25892541179416e+003	(2.39971791213454e+002dB,1.79977511171405e+002°)
1.26182753459066e+003	(2.39971791206052e+002dB,1.79977459329327e+002°)
1.26473634747115e+003	(2.39971791198616e+002dB,1.79977407367740e+002°)
1.26765186585784e+003	(2.39971791191146e+002dB,1.79977355286370e+002°)
1.27057410520854e+003	(2.39971791183641e+002dB,1.79977303084940e+002°)
1.27350308101666e+003	(2.39971791176102e+002dB,1.79977250763174e+002°)
1.27643880881134e+003	(2.39971791168528e+002dB,1.79977198320794e+002°)
1.27938130415752e+003	(2.39971791160919e+002dB,1.79977145757521e+002°)
1.28233058265601e+003	(2.39971791153275e+002dB,1.79977093073078e+002°)
1.28528665994361e+003	(2.39971791145596e+002dB,1.79977040267185e+002°)
1.28824955169313e+003	(2.39971791137881e+002dB,1.79976987339562e+002°)
1.29121927361353e+003	(2.39971791130130e+002dB,1.79976934289929e+002°)
1.29419584144998e+003	(2.39971791122344e+002dB,1.79976881118003e+002°)
1.29717927098395e+003	(2.39971791114522e+002dB,1.79976827823504e+002°)
1.30016957803328e+003	(2.39971791106664e+002dB,1.79976774406149e+002°)
1.30316677845229e+003	(2.39971791098769e+002dB,1.79976720865654e+002°)
1.30617088813183e+003	(2.39971791090838e+002dB,1.79976667201735e+002°)
1.30918192299940e+003	(2.39971791082871e+002dB,1.79976613414109e+002°)
1.31219989901920e+003	(2.39971791074866e+002dB,1.79976559502490e+002°)
1.31522483219223e+003	(2.39971791066825e+002dB,1.79976505466592e+002°)
1.31825673855640e+003	(2.39971791058747e+002dB,1.79976451306128e+002°)
1.32129563418657e+003	(2.39971791050631e+002dB,1.79976397020812e+002°)
1.32434153519466e+003	(2.39971791042478e+002dB,1.79976342610355e+002°)
1.32739445772973e+003	(2.39971791034287e+002dB,1.79976288074470e+002°)
1.33045441797808e+003	(2.39971791026058e+002dB,1.79976233412866e+002°)
1.33352143216332e+003	(2.39971791017792e+002dB,1.79976178625255e+002°)
1.33659551654643e+003	(2.39971791009487e+002dB,1.79976123711345e+002°)
1.33967668742593e+003	(2.39971791001144e+002dB,1.79976068670846e+002°)
1.34276496113786e+003	(2.39971790992762e+002dB,1.79976013503466e+002°)
1.34586035405594e+003	(2.39971790984342e+002dB,1.79975958208912e+002°)
1.34896288259165e+003	(2.39971790975883e+002dB,1.79975902786891e+002°)
1.35207256319427e+003	(2.39971790967385e+002dB,1.79975847237110e+002°)
1.35518941235103e+003	(2.39971790958847e+002dB,1.79975791559273e+002°)
1.35831344658715e+003	(2.39971790950270e+002dB,1.79975735753086e+002°)
1.36144468246594e+003	(2.39971790941654e+002dB,1.79975679818252e+002°)
1.36458313658892e+003	(2.39971790932998e+002dB,1.79975623754476e+002°)
1.36772882559584e+003	(2.39971790924302e+002dB,1.79975567561459e+002°)
1.37088176616484e+003	(2.39971790915565e+002dB,1.79975511238905e+002°)
1.37404197501251e+003	(2.39971790906789e+002dB,1.79975454786513e+002°)
1.37720946889394e+003	(2.39971790897972e+002dB,1.79975398203986e+002°)
1.38038426460288e+003	(2.39971790889114e+002dB,1.79975341491023e+002°)
1.38356637897177e+003	(2.39971790880215e+002dB,1.79975284647323e+002°)
1.38675582887188e+003	(2.39971790871275e+002dB,1.79975227672585e+002°)
1.38995263121334e+003	(2.39971790862294e+002dB,1.79975170566507e+002°)
1.39315680294529e+003	(2.39971790853272e+002dB,1.79975113328786e+002°)
1.39636836105593e+003	(2.39971790844208e+002dB,1.79975055959119e+002°)
1.39958732257261e+003	(2.39971790835102e+002dB,1.79974998457201e+002°)
1.40281370456195e+003	(2.39971790825954e+002dB,1.79974940822728e+002°)
1.40604752412990e+003	(2.39971790816764e+002dB,1.79974883055394e+002°)
1.40928879842186e+003	(2.39971790807531e+002dB,1.79974825154893e+002°)
1.41253754462274e+003	(2.39971790798256e+002dB,1.79974767120917e+002°)
1.41579377995707e+003	(2.39971790788938e+002dB,1.79974708953160e+002°)
1.41905752168908e+003	(2.39971790779577e+002dB,1.79974650651312e+002°)
1.42232878712281e+003	(2.39971790770172e+002dB,1.79974592215065e+002°)
1.42560759360218e+003	(2.39971790760725e+002dB,1.79974533644109e+002°)
1.42889395851109e+003	(2.39971790751233e+002dB,1.79974474938133e+002°)
1.43218789927353e+003	(2.39971790741698e+002dB,1.79974416096826e+002°)
1.43548943335364e+003	(2.39971790732119e+002dB,1.79974357119877e+002°)
1.43879857825583e+003	(2.39971790722496e+002dB,1.79974298006971e+002°)
1.44211535152486e+003	(2.39971790712828e+002dB,1.79974238757796e+002°)
1.44543977074592e+003	(2.39971790703115e+002dB,1.79974179372039e+002°)
1.44877185354475e+003	(2.39971790693358e+002dB,1.79974119849383e+002°)
1.45211161758773e+003	(2.39971790683556e+002dB,1.79974060189513e+002°)
1.45545908058195e+003	(2.39971790673708e+002dB,1.79974000392114e+002°)
1.45881426027534e+003	(2.39971790663816e+002dB,1.79973940456868e+002°)
1.46217717445671e+003	(2.39971790653877e+002dB,1.79973880383457e+002°)
1.46554784095590e+003	(2.39971790643892e+002dB,1.79973820171562e+002°)
1.46892627764385e+003	(2.39971790633862e+002dB,1.79973759820866e+002°)
1.47231250243271e+003	(2.39971790623785e+002dB,1.79973699331046e+002°)
1.47570653327588e+003	(2.39971790613662e+002dB,1.79973638701784e+002°)
1.47910838816819e+003	(2.39971790603491e+002dB,1.79973577932757e+002°)
1.48251808514594e+003	(2.39971790593274e+002dB,1.79973517023643e+002°)
1.48593564228699e+003	(2.39971790583010e+002dB,1.79973455974120e+002°)
1.48936107771090e+003	(2.39971790572699e+002dB,1.79973394783863e+002°)
1.49279440957898e+003	(2.39971790562339e+002dB,1.79973333452548e+002°)
1.49623565609442e+003	(2.39971790551932e+002dB,1.79973271979851e+002°)
1.49968483550236e+003	(2.39971790541477e+002dB,1.79973210365444e+002°)
1.50314196609001e+003	(2.39971790530974e+002dB,1.79973148609002e+002°)
1.50660706618673e+003	(2.39971790520422e+002dB,1.79973086710197e+002°)
1.51008015416413e+003	(2.39971790509822e+002dB,1.79973024668701e+002°)
1.51356124843619e+003	(2.39971790499172e+002dB,1.79972962484184e+002°)
1.51705036745932e+003	(2.39971790488474e+002dB,1.79972900156318e+002°)
1.52054752973248e+003	(2.39971790477726e+002dB,1.79972837684771e+002°)
1.52405275379728e+003	(2.39971790466928e+002dB,1.79972775069213e+002°)
1.52756605823806e+003	(2.39971790456081e+002dB,1.79972712309312e+002°)
1.53108746168201e+003	(2.39971790445183e+002dB,1.79972649404734e+002°)
1.53461698279928e+003	(2.39971790434236e+002dB,1.79972586355147e+002°)
1.53815464030302e+003	(2.39971790423237e+002dB,1.79972523160216e+002°)
1.54170045294954e+003	(2.39971790412188e+002dB,1.79972459819605e+002°)
1.54525443953840e+003	(2.39971790401088e+002dB,1.79972396332980e+002°)
1.54881661891247e+003	(2.39971790389937e+002dB,1.79972332700003e+002°)
1.55238700995807e+003	(2.39971790378734e+002dB,1.79972268920338e+002°)
1.55596563160506e+003	(2.39971790367480e+002dB,1.79972204993645e+002°)
1.55955250282694e+003	(2.39971790356173e+002dB,1.79972140919587e+002°)
1.56314764264094e+003	(2.39971790344815e+002dB,1.79972076697823e+002°)
1.56675107010813e+003	(2.39971790333403e+002dB,1.79972012328013e+002°)
1.57036280433354e+003	(2.39971790321940e+002dB,1.79971947809815e+002°)
1.57398286446620e+003	(2.39971790310423e+002dB,1.79971883142888e+002°)
1.57761126969933e+003	(2.39971790298853e+002dB,1.79971818326889e+002°)
1.58124803927037e+003	(2.39971790287230e+002dB,1.79971753361474e+002°)
1.58489319246110e+003	(2.39971790275553e+002dB,1.79971688246298e+002°)
1.58854674859776e+003	(2.39971790263823e+002dB,1.79971622981017e+002°)
1.59220872705115e+003	(2.39971790252038e+002dB,1.79971557565284e+002°)
1.59587914723672e+003	(2.39971790240198e+002dB,1.79971491998752e+002°)
1.59955802861465e+003	(2.39971790228304e+002dB,1.79971426281075e+002°)
1.60324539069002e+003	(2.39971790216356e+002dB,1.79971360411903e+002°)
1.60694125301286e+003	(2.39971790204352e+002dB,1.79971294390887e+002°)
1.61064563517825e+003	(2.39971790192292e+002dB,1.79971228217677e+002°)
1.61435855682647e+003	(2.39971790180177e+002dB,1.79971161891923e+002°)
1.61808003764305e+003	(2.39971790168006e+002dB,1.79971095413272e+002°)
1.62181009735891e+003	(2.39971790155779e+002dB,1.79971028781373e+002°)
1.62554875575047e+003	(2.39971790143495e+002dB,1.79970961995872e+002°)
1.62929603263970e+003	(2.39971790131155e+002dB,1.79970895056414e+002°)
1.63305194789432e+003	(2.39971790118758e+002dB,1.79970827962646e+002°)
1.63681652142779e+003	(2.39971790106303e+002dB,1.79970760714211e+002°)
1.64058977319952e+003	(2.39971790093792e+002dB,1.79970693310752e+002°)
1.64437172321491e+003	(2.39971790081222e+002dB,1.79970625751913e+002°)
1.64816239152549e+003	(2.39971790068594e+002dB,1.79970558037336e+002°)
1.65196179822900e+003	(2.39971790055908e+002dB,1.79970490166660e+002°)
1.65576996346951e+003	(2.39971790043163e+002dB,1.79970422139527e+002°)
1.65958690743754e+003	(2.39971790030360e+002dB,1.79970353955575e+002°)
1.66341265037015e+003	(2.39971790017498e+002dB,1.79970285614443e+002°)
1.66724721255104e+003	(2.39971790004576e+002dB,1.79970217115770e+002°)
1.67109061431069e+003	(2.39971789991594e+002dB,1.79970148459191e+002°)
1.67494287602642e+003	(2.39971789978553e+002dB,1.79970079644342e+002°)
1.67880401812254e+003	(2.39971789965451e+002dB,1.79970010670860e+002°)
1.68267406107045e+003	(2.39971789952289e+002dB,1.79969941538378e+002°)
1.68655302538872e+003	(2.39971789939066e+002dB,1.79969872246529e+002°)
1.69044093164324e+003	(2.39971789925782e+002dB,1.79969802794946e+002°)
1.69433780044731e+003	(2.39971789912437e+002dB,1.79969733183262e+002°)
1.69824365246172e+003	(2.39971789899030e+002dB,1.79969663411106e+002°)
1.70215850839493e+003	(2.39971789885562e+002dB,1.79969593478109e+002°)
1.70608238900310e+003	(2.39971789872031e+002dB,1.79969523383901e+002°)
1.71001531509027e+003	(2.39971789858438e+002dB,1.79969453128109e+002°)
1.71395730750840e+003	(2.39971789844781e+002dB,1.79969382710361e+002°)
1.71790838715757e+003	(2.39971789831062e+002dB,1.79969312130284e+002°)
1.72186857498598e+003	(2.39971789817280e+002dB,1.79969241387504e+002°)
1.72583789199018e+003	(2.39971789803434e+002dB,1.79969170481645e+002°)
1.72981635921508e+003	(2.39971789789524e+002dB,1.79969099412332e+002°)
1.73380399775412e+003	(2.39971789775550e+002dB,1.79969028179187e+002°)
1.73780082874935e+003	(2.39971789761511e+002dB,1.79968956781834e+002°)
1.74180687339159e+003	(2.39971789747408e+002dB,1.79968885219893e+002°)
1.74582215292048e+003	(2.39971789733239e+002dB,1.79968813492985e+002°)
1.74984668862463e+003	(2.39971789719005e+002dB,1.79968741600731e+002°)
1.75388050184174e+003	(2.39971789704706e+002dB,1.79968669542747e+002°)
1.75792361395867e+003	(2.39971789690340e+002dB,1.79968597318654e+002°)
1.76197604641161e+003	(2.39971789675908e+002dB,1.79968524928067e+002°)
1.76603782068614e+003	(2.39971789661410e+002dB,1.79968452370604e+002°)
1.77010895831740e+003	(2.39971789646844e+002dB,1.79968379645878e+002°)
1.77418948089014e+003	(2.39971789632211e+002dB,1.79968306753505e+002°)
1.77827941003890e+003	(2.39971789617511e+002dB,1.79968233693099e+002°)
1.78237876744807e+003	(2.39971789602743e+002dB,1.79968160464271e+002°)
1.78648757485203e+003	(2.39971789587907e+002dB,1.79968087066634e+002°)
1.79060585403527e+003	(2.39971789573002e+002dB,1.79968013499798e+002°)
1.79473362683250e+003	(2.39971789558029e+002dB,1.79967939763374e+002°)
1.79887091512876e+003	(2.39971789542986e+002dB,1.79967865856971e+002°)
1.80301774085954e+003	(2.39971789527874e+002dB,1.79967791780196e+002°)
1.80717412601090e+003	(2.39971789512692e+002dB,1.79967717532657e+002°)
1.81134009261958e+003	(2.39971789497440e+002dB,1.79967643113960e+002°)
1.81551566277311e+003	(2.39971789482118e+002dB,1.79967568523711e+002°)
1.81970085860996e+003	(2.39971789466725e+002dB,1.79967493761514e+002°)
1.82389570231961e+003	(2.39971789451261e+002dB,1.79967418826973e+002°)
1.82810021614272e+003	(2.39971789435725e+002dB,1.79967343719691e+002°)
1.83231442237119e+003	(2.39971789420118e+002dB,1.79967268439269e+002°)
1.83653834334832e+003	(2.39971789404439e+002dB,1.79967192985308e+002°)
1.84077200146893e+003	(2.39971789388687e+002dB,1.79967117357408e+002°)
1.84501541917945e+003	(2.39971789372863e+002dB,1.79967041555169e+002°)
1.84926861897805e+003	(2.39971789356966e+002dB,1.79966965578188e+002°)
1.85353162341478e+003	(2.39971789340995e+002dB,1.79966889426063e+002°)
1.85780445509167e+003	(2.39971789324950e+002dB,1.79966813098389e+002°)
1.86208713666284e+003	(2.39971789308832e+002dB,1.79966736594762e+002°)
1.86637969083464e+003	(2.39971789292639e+002dB,1.79966659914777e+002°)
1.87068214036577e+003	(2.39971789276371e+002dB,1.79966583058027e+002°)
1.87499450806739e+003	(2.39971789260029e+002dB,1.79966506024105e+002°)
1.87931681680324e+003	(2.39971789243611e+002dB,1.79966428812601e+002°)
1.88364908948977e+003	(2.39971789227117e+002dB,1.79966351423107e+002°)
1.88799134909627e+003	(2.39971789210547e+002dB,1.79966273855213e+002°)
1.89234361864495e+003	(2.39971789193900e+002dB,1.79966196108507e+002°)
1.89670592121112e+003	(2.39971789177177e+002dB,1.79966118182576e+002°)
1.90107827992327e+003	(2.39971789160376e+002dB,1.79966040077009e+002°)
1.90546071796322e+003	(2.39971789143498e+002dB,1.79965961791390e+002°)
1.90985325856621e+003	(2.39971789126542e+002dB,1.79965883325304e+002°)
1.91425592502106e+003	(2.39971789109508e+002dB,1.79965804678337e+002°)
1.91866874067026e+003	(2.39971789092395e+002dB,1.79965725850070e+002°)
1.92309172891013e+003	(2.39971789075203e+002dB,1.79965646840085e+002°)
1.92752491319091e+003	(2.39971789057932e+002dB,1.79965567647965e+002°)
1.93196831701689e+003	(2.39971789040581e+002dB,1.79965488273288e+002°)
1.93642196394658e+003	(2.39971789023150e+002dB,1.79965408715635e+002°)
1.94088587759275e+003	(2.39971789005638e+002dB,1.79965328974582e+002°)
1.94536008162263e+003	(2.39971788988046e+002dB,1.79965249049709e+002°)
1.94984459975802e+003	(2.39971788970372e+002dB,1.79965168940590e+002°)
1.95433945577536e+003	(2.39971788952617e+002dB,1.79965088646801e+002°)
1.95884467350596e+003	(2.39971788934780e+002dB,1.79965008167917e+002°)
1.96336027683602e+003	(2.39971788916861e+002dB,1.79964927503510e+002°)
1.96788628970681e+003	(2.39971788898858e+002dB,1.79964846653153e+002°)
1.97242273611482e+003	(2.39971788880773e+002dB,1.79964765616418e+002°)
1.97696964011183e+003	(2.39971788862605e+002dB,1.79964684392874e+002°)
1.98152702580507e+003	(2.39971788844352e+002dB,1.79964602982092e+002°)
1.98609491735734e+003	(2.39971788826015e+002dB,1.79964521383639e+002°)
1.99067333898715e+003	(2.39971788807594e+002dB,1.79964439597083e+002°)
1.99526231496885e+003	(2.39971788789087e+002dB,1.79964357621989e+002°)
1.99986186963271e+003	(2.39971788770495e+002dB,1.79964275457925e+002°)
2.00447202736513e+003	(2.39971788751818e+002dB,1.79964193104454e+002°)
2.00909281260870e+003	(2.39971788733054e+002dB,1.79964110561138e+002°)
2.01372424986236e+003	(2.39971788714203e+002dB,1.79964027827542e+002°)
2.01836636368153e+003	(2.39971788695266e+002dB,1.79963944903226e+002°)
2.02301917867824e+003	(2.39971788676241e+002dB,1.79963861787750e+002°)
2.02768271952125e+003	(2.39971788657128e+002dB,1.79963778480674e+002°)
2.03235701093619e+003	(2.39971788637927e+002dB,1.79963694981556e+002°)
2.03704207770568e+003	(2.39971788618638e+002dB,1.79963611289953e+002°)
2.04173794466950e+003	(2.39971788599259e+002dB,1.79963527405422e+002°)
2.04644463672464e+003	(2.39971788579791e+002dB,1.79963443327518e+002°)
2.05116217882553e+003	(2.39971788560233e+002dB,1.79963359055796e+002°)
2.05589059598411e+003	(2.39971788540585e+002dB,1.79963274589807e+002°)
2.06062991326997e+003	(2.39971788520846e+002dB,1.79963189929105e+002°)
2.06538015581049e+003	(2.39971788501016e+002dB,1.79963105073241e+002°)
2.07014134879101e+003	(2.39971788481094e+002dB,1.79963020021765e+002°)
2.07491351745487e+003	(2.39971788461081e+002dB,1.79962934774225e+002°)
2.07969668710366e+003	(2.39971788440975e+002dB,1.79962849330171e+002°)
2.08449088309725e+003	(2.39971788420776e+002dB,1.79962763689148e+002°)
2.08929613085400e+003	(2.39971788400484e+002dB,1.79962677850704e+002°)
2.09411245585086e+003	(2.39971788380099e+002dB,1.79962591814382e+002°)
2.09893988362349e+003	(2.39971788359619e+002dB,1.79962505579726e+002°)
2.10377843976644e+003	(2.39971788339045e+002dB,1.79962419146280e+002°)
2.10862814993325e+003	(2.39971788318376e+002dB,1.79962332513585e+002°)
2.11348903983661e+003	(2.39971788297611e+002dB,1.79962245681183e+002°)
2.11836113524846e+003	(2.39971788276751e+002dB,1.79962158648611e+002°)
2.12324446200018e+003	(2.39971788255794e+002dB,1.79962071415410e+002°)
2.12813904598267e+003	(2.39971788234741e+002dB,1.79961983981116e+002°)
2.13304491314654e+003	(2.39971788213590e+002dB,1.79961896345266e+002°)
2.13796208950219e+003	(2.39971788192342e+002dB,1.79961808507395e+002°)
2.14289060112002e+003	(2.39971788170995e+002dB,1.79961720467038e+002°)
2.14783047413050e+003	(2.39971788149551e+002dB,1.79961632223728e+002°)
2.15278173472433e+003	(2.39971788128007e+002dB,1.79961543776998e+002°)
2.15774440915263e+003	(2.39971788106364e+002dB,1.79961455126377e+002°)
2.16271852372698e+003	(2.39971788084620e+002dB,1.79961366271396e+002°)
2.16770410481966e+003	(2.39971788062777e+002dB,1.79961277211584e+002°)
2.17270117886370e+003	(2.39971788040833e+002dB,1.79961187946469e+002°)
2.17770977235312e+003	(2.39971788018787e+002dB,1.79961098475578e+002°)
2.18272991184296e+003	(2.39971787996640e+002dB,1.79961008798436e+002°)
2.18776162394951e+003	(2.39971787974390e+002dB,1.79960918914568e+002°)
2.19280493535041e+003	(2.39971787952038e+002dB,1.79960828823497e+002°)
2.19785987278478e+003	(2.39971787929582e+002dB,1.79960738524745e+002°)
2.20292646305342e+003	(2.39971787907023e+002dB,1.79960648017834e+002°)
2.20800473301886e+003	(2.39971787884360e+002dB,1.79960557302285e+002°)
2.21309470960560e+003	(2.39971787861592e+002dB,1.79960466377615e+002°)
2.21819641980018e+003	(2.39971787838719e+002dB,1.79960375243343e+002°)
2.22330989065136e+003	(2.39971787815740e+002dB,1.79960283898986e+002°)
2.22843514927026e+003	(2.39971787792656e+002dB,1.79960192344060e+002°)
2.23357222283049e+003	(2.39971787769465e+002dB,1.79960100578078e+002°)
2.23872113856830e+003	(2.39971787746167e+002dB,1.79960008600556e+002°)
2.24388192378272e+003	(2.39971787722761e+002dB,1.79959916411004e+002°)
2.24905460583574e+003	(2.39971787699247e+002dB,1.79959824008934e+002°)
2.25423921215239e+003	(2.39971787675625e+002dB,1.79959731393856e+002°)
2.25943577022093e+003	(2.39971787651893e+002dB,1.79959638565280e+002°)
2.26464430759302e+003	(2.39971787628053e+002dB,1.79959545522713e+002°)
2.26986485188378e+003	(2.39971787604102e+002dB,1.79959452265661e+002°)
2.27509743077203e+003	(2.39971787580040e+002dB,1.79959358793631e+002°)
2.28034207200037e+003	(2.39971787555868e+002dB,1.79959265106126e+002°)
2.28559880337539e+003	(2.39971787531584e+002dB,1.79959171202651e+002°)
2.29086765276773e+003	(2.39971787507187e+002dB,1.79959077082707e+002°)
2.29614864811232e+003	(2.39971787482679e+002dB,1.79958982745795e+002°)
2.30144181740846e+003	(2.39971787458057e+002dB,1.79958888191415e+002°)
2.30674718872002e+003	(2.39971787433321e+002dB,1.79958793419066e+002°)
2.31206479017555e+003	(2.39971787408472e+002dB,1.79958698428245e+002°)
2.31739464996843e+003	(2.39971787383507e+002dB,1.79958603218448e+002°)
2.32273679635706e+003	(2.39971787358427e+002dB,1.79958507789172e+002°)
