Freq.,Vvin/iv3
1.08642562361706e+003,2.39971791622705e+002,1.79980592622132e+002
1.08893009333343e+003,2.39971791617192e+002,1.79980547883522e+002
1.09144033644875e+003,2.39971791611654e+002,1.79980503041779e+002
1.09395636627209e+003,2.39971791606091e+002,1.79980458096665e+002
1.09647819614318e+003,2.39971791600501e+002,1.79980413047942e+002
1.09900583943252e+003,2.39971791594886e+002,1.79980367895371e+002
1.10153930954141e+003,2.39971791589245e+002,1.79980322638713e+002
1.10407861990207e+003,2.39971791583578e+002,1.79980277277728e+002
1.10662378397766e+003,2.39971791577885e+002,1.79980231812175e+002
1.10917481526240e+003,2.39971791572165e+002,1.79980186241813e+002
1.11173172728159e+003,2.39971791566420e+002,1.79980140566401e+002
1.11429453359173e+003,2.39971791560647e+002,1.79980094785696e+002
1.11686324778056e+003,2.39971791554848e+002,1.79980048899456e+002
1.11943788346715e+003,2.39971791549022e+002,1.79980002907437e+002
1.12201845430196e+003,2.39971791543170e+002,1.79979956809396e+002
1.12460497396692e+003,2.39971791537290e+002,1.79979910605088e+002
1.12719745617551e+003,2.39971791531383e+002,1.79979864294268e+002
1.12979591467279e+003,2.39971791525449e+002,1.79979817876691e+002
1.13240036323555e+003,2.39971791519487e+002,1.79979771352110e+002
1.13501081567231e+003,2.39971791513498e+002,1.79979724720279e+002
1.13762728582343e+003,2.39971791507482e+002,1.79979677980951e+002
1.14024978756117e+003,2.39971791501437e+002,1.79979631133878e+002
1.14287833478977e+003,2.39971791495365e+002,1.79979584178811e+002
1.14551294144553e+003,2.39971791489264e+002,1.79979537115502e+002
1.14815362149688e+003,2.39971791483136e+002,1.79979489943701e+002
1.15080038894443e+003,2.39971791476979e+002,1.79979442663157e+002
1.15345325782109e+003,2.39971791470794e+002,1.79979395273621e+002
1.15611224219210e+003,2.39971791464580e+002,1.79979347774841e+002
1.15877735615512e+003,2.39971791458337e+002,1.79979300166565e+002
1.16144861384034e+003,2.39971791452066e+002,1.79979252448541e+002
1.16412602941049e+003,2.39971791445766e+002,1.79979204620516e+002
1.16680961706096e+003,2.39971791439437e+002,1.79979156682235e+002
1.16949939101987e+003,2.39971791433078e+002,1.79979108633446e+002
1.17219536554813e+003,2.39971791426690e+002,1.79979060473893e+002
1.17489755493953e+003,2.39971791420273e+002,1.79979012203320e+002
1.17760597352080e+003,2.39971791413826e+002,1.79978963821473e+002
1.18032063565173e+003,2.39971791407349e+002,1.79978915328094e+002
1.18304155572516e+003,2.39971791400842e+002,1.79978866722927e+002
1.18576874816716e+003,2.39971791394306e+002,1.79978818005713e+002
1.18850222743701e+003,2.39971791387739e+002,1.79978769176195e+002
1.19124200802737e+003,2.39971791381142e+002,1.79978720234113e+002
1.19398810446427e+003,2.39971791374514e+002,1.79978671179208e+002
1.19674053130724e+003,2.39971791367856e+002,1.79978622011220e+002
1.19949930314937e+003,2.39971791361167e+002,1.79978572729888e+002
1.20226443461741e+003,2.39971791354447e+002,1.79978523334952e+002
1.20503594037179e+003,2.39971791347696e+002,1.79978473826148e+002
1.20781383510678e+003,2.39971791340914e+002,1.79978424203215e+002
1.21059813355048e+003,2.39971791334101e+002,1.79978374465889e+002
1.21338885046497e+003,2.39971791327256e+002,1.79978324613907e+002
1.21618600064636e+003,2.39971791320380e+002,1.79978274647005e+002
1.21898959892486e+003,2.39971791313472e+002,1.79978224564917e+002
1.22179966016487e+003,2.39971791306532e+002,1.79978174367378e+002
1.22461619926504e+003,2.39971791299560e+002,1.79978124054122e+002
1.22743923115840e+003,2.39971791292556e+002,1.79978073624882e+002
1.23026877081238e+003,2.39971791285519e+002,1.79978023079391e+002
1.23310483322890e+003,2.39971791278450e+002,1.79977972417381e+002
1.23594743344450e+003,2.39971791271349e+002,1.79977921638583e+002
1.23879658653036e+003,2.39971791264214e+002,1.79977870742728e+002
1.24165230759241e+003,2.39971791257047e+002,1.79977819729545e+002
1.24451461177138e+003,2.39971791249847e+002,1.79977768598766e+002
1.24738351424294e+003,2.39971791242613e+002,1.79977717350118e+002
1.25025903021771e+003,2.39971791235346e+002,1.79977665983330e+002
1.25314117494141e+003,2.39971791228045e+002,1.79977614498130e+002
1.25602996369487e+003,2.39971791220711e+002,1.79977562894244e+002
1.25892541179416e+003,2.39971791213343e+002,1.79977511171398e+002
1.26182753459066e+003,2.39971791205941e+002,1.79977459329320e+002
1.26473634747115e+003,2.39971791198504e+002,1.79977407367733e+002
1.26765186585784e+003,2.39971791191034e+002,1.79977355286363e+002
1.27057410520854e+003,2.39971791183529e+002,1.79977303084933e+002
1.27350308101666e+003,2.39971791175989e+002,1.79977250763167e+002
1.27643880881134e+003,2.39971791168414e+002,1.79977198320786e+002
1.27938130415752e+003,2.39971791160805e+002,1.79977145757514e+002
1.28233058265601e+003,2.39971791153160e+002,1.79977093073071e+002
1.28528665994361e+003,2.39971791145480e+002,1.79977040267178e+002
1.28824955169313e+003,2.39971791137765e+002,1.79976987339555e+002
1.29121927361353e+003,2.39971791130014e+002,1.79976934289921e+002
1.29419584144998e+003,2.39971791122227e+002,1.79976881117995e+002
1.29717927098395e+003,2.39971791114405e+002,1.79976827823496e+002
1.30016957803328e+003,2.39971791106546e+002,1.79976774406141e+002
1.30316677845229e+003,2.39971791098651e+002,1.79976720865646e+002
1.30617088813183e+003,2.39971791090719e+002,1.79976667201727e+002
1.30918192299940e+003,2.39971791082751e+002,1.79976613414101e+002
1.31219989901920e+003,2.39971791074746e+002,1.79976559502481e+002
1.31522483219223e+003,2.39971791066704e+002,1.79976505466583e+002
1.31825673855640e+003,2.39971791058625e+002,1.79976451306119e+002
1.32129563418657e+003,2.39971791050509e+002,1.79976397020802e+002
1.32434153519466e+003,2.39971791042355e+002,1.79976342610346e+002
1.32739445772973e+003,2.39971791034164e+002,1.79976288074460e+002
1.33045441797808e+003,2.39971791025935e+002,1.79976233412856e+002
1.33352143216332e+003,2.39971791017668e+002,1.79976178625245e+002
1.33659551654643e+003,2.39971791009362e+002,1.79976123711335e+002
1.33967668742593e+003,2.39971791001019e+002,1.79976068670836e+002
1.34276496113786e+003,2.39971790992636e+002,1.79976013503456e+002
1.34586035405594e+003,2.39971790984216e+002,1.79975958208902e+002
1.34896288259165e+003,2.39971790975756e+002,1.79975902786881e+002
1.35207256319427e+003,2.39971790967257e+002,1.79975847237099e+002
1.35518941235103e+003,2.39971790958719e+002,1.79975791559262e+002
1.35831344658715e+003,2.39971790950142e+002,1.79975735753075e+002
1.36144468246594e+003,2.39971790941525e+002,1.79975679818241e+002
1.36458313658892e+003,2.39971790932868e+002,1.79975623754464e+002
1.36772882559584e+003,2.39971790924171e+002,1.79975567561448e+002
1.37088176616484e+003,2.39971790915434e+002,1.79975511238893e+002
1.37404197501251e+003,2.39971790906657e+002,1.79975454786501e+002
1.37720946889394e+003,2.39971790897839e+002,1.79975398203974e+002
1.38038426460288e+003,2.39971790888981e+002,1.79975341491010e+002
1.38356637897177e+003,2.39971790880082e+002,1.79975284647310e+002
1.38675582887188e+003,2.39971790871141e+002,1.79975227672572e+002
1.38995263121334e+003,2.39971790862159e+002,1.79975170566494e+002
1.39315680294529e+003,2.39971790853136e+002,1.79975113328773e+002
1.39636836105593e+003,2.39971790844072e+002,1.79975055959106e+002
1.39958732257261e+003,2.39971790834965e+002,1.79974998457188e+002
1.40281370456195e+003,2.39971790825816e+002,1.79974940822714e+002
1.40604752412990e+003,2.39971790816625e+002,1.79974883055380e+002
1.40928879842186e+003,2.39971790807392e+002,1.79974825154879e+002
1.41253754462274e+003,2.39971790798116e+002,1.79974767120903e+002
1.41579377995707e+003,2.39971790788798e+002,1.79974708953146e+002
1.41905752168908e+003,2.39971790779436e+002,1.79974650651298e+002
1.42232878712281e+003,2.39971790770031e+002,1.79974592215051e+002
1.42560759360218e+003,2.39971790760583e+002,1.79974533644094e+002
1.42889395851109e+003,2.39971790751091e+002,1.79974474938118e+002
1.43218789927353e+003,2.39971790741555e+002,1.79974416096811e+002
1.43548943335364e+003,2.39971790731975e+002,1.79974357119861e+002
1.43879857825583e+003,2.39971790722351e+002,1.79974298006955e+002
1.44211535152486e+003,2.39971790712683e+002,1.79974238757781e+002
1.44543977074592e+003,2.39971790702969e+002,1.79974179372023e+002
1.44877185354475e+003,2.39971790693212e+002,1.79974119849367e+002
1.45211161758773e+003,2.39971790683409e+002,1.79974060189497e+002
1.45545908058195e+003,2.39971790673560e+002,1.79974000392098e+002
1.45881426027534e+003,2.39971790663667e+002,1.79973940456851e+002
1.46217717445671e+003,2.39971790653728e+002,1.79973880383440e+002
1.46554784095590e+003,2.39971790643742e+002,1.79973820171545e+002
1.46892627764385e+003,2.39971790633711e+002,1.79973759820848e+002
1.47231250243271e+003,2.39971790623633e+002,1.79973699331029e+002
1.47570653327588e+003,2.39971790613509e+002,1.79973638701766e+002
1.47910838816819e+003,2.39971790603339e+002,1.79973577932739e+002
1.48251808514594e+003,2.39971790593121e+002,1.79973517023625e+002
1.48593564228699e+003,2.39971790582856e+002,1.79973455974101e+002
1.48936107771090e+003,2.39971790572544e+002,1.79973394783844e+002
1.49279440957898e+003,2.39971790562184e+002,1.79973333452529e+002
1.49623565609442e+003,2.39971790551776e+002,1.79973271979831e+002
1.49968483550236e+003,2.39971790541320e+002,1.79973210365425e+002
1.50314196609001e+003,2.39971790530816e+002,1.79973148608982e+002
1.50660706618673e+003,2.39971790520264e+002,1.79973086710177e+002
1.51008015416413e+003,2.39971790509662e+002,1.79973024668680e+002
1.51356124843619e+003,2.39971790499012e+002,1.79972962484164e+002
1.51705036745932e+003,2.39971790488313e+002,1.79972900156297e+002
1.52054752973248e+003,2.39971790477564e+002,1.79972837684750e+002
1.52405275379728e+003,2.39971790466766e+002,1.79972775069192e+002
1.52756605823806e+003,2.39971790455918e+002,1.79972712309291e+002
1.53108746168201e+003,2.39971790445020e+002,1.79972649404713e+002
1.53461698279928e+003,2.39971790434071e+002,1.79972586355125e+002
1.53815464030302e+003,2.39971790423072e+002,1.79972523160194e+002
1.54170045294954e+003,2.39971790412022e+002,1.79972459819583e+002
1.54525443953840e+003,2.39971790400921e+002,1.79972396332957e+002
1.54881661891247e+003,2.39971790389769e+002,1.79972332699980e+002
1.55238700995807e+003,2.39971790378566e+002,1.79972268920315e+002
1.55596563160506e+003,2.39971790367310e+002,1.79972204993622e+002
1.55955250282694e+003,2.39971790356003e+002,1.79972140919563e+002
1.56314764264094e+003,2.39971790344644e+002,1.79972076697799e+002
1.56675107010813e+003,2.39971790333232e+002,1.79972012327989e+002
1.57036280433354e+003,2.39971790321767e+002,1.79971947809791e+002
1.57398286446620e+003,2.39971790310250e+002,1.79971883142863e+002
1.57761126969933e+003,2.39971790298679e+002,1.79971818326864e+002
1.58124803927037e+003,2.39971790287055e+002,1.79971753361448e+002
1.58489319246110e+003,2.39971790275378e+002,1.79971688246272e+002
1.58854674859776e+003,2.39971790263646e+002,1.79971622980991e+002
1.59220872705115e+003,2.39971790251860e+002,1.79971557565257e+002
1.59587914723672e+003,2.39971790240020e+002,1.79971491998726e+002
1.59955802861465e+003,2.39971790228126e+002,1.79971426281048e+002
1.60324539069002e+003,2.39971790216176e+002,1.79971360411876e+002
1.60694125301286e+003,2.39971790204171e+002,1.79971294390859e+002
1.61064563517825e+003,2.39971790192111e+002,1.79971228217650e+002
1.61435855682647e+003,2.39971790179995e+002,1.79971161891895e+002
1.61808003764305e+003,2.39971790167823e+002,1.79971095413244e+002
1.62181009735891e+003,2.39971790155595e+002,1.79971028781345e+002
1.62554875575047e+003,2.39971790143311e+002,1.79970961995843e+002
1.62929603263970e+003,2.39971790130970e+002,1.79970895056385e+002
1.63305194789432e+003,2.39971790118571e+002,1.79970827962617e+002
1.63681652142779e+003,2.39971790106116e+002,1.79970760714181e+002
1.64058977319952e+003,2.39971790093603e+002,1.79970693310722e+002
1.64437172321491e+003,2.39971790081033e+002,1.79970625751883e+002
1.64816239152549e+003,2.39971790068404e+002,1.79970558037305e+002
1.65196179822900e+003,2.39971790055717e+002,1.79970490166629e+002
1.65576996346951e+003,2.39971790042972e+002,1.79970422139495e+002
1.65958690743754e+003,2.39971790030167e+002,1.79970353955543e+002
1.66341265037015e+003,2.39971790017304e+002,1.79970285614412e+002
1.66724721255104e+003,2.39971790004381e+002,1.79970217115738e+002
1.67109061431069e+003,2.39971789991399e+002,1.79970148459158e+002
1.67494287602642e+003,2.39971789978357e+002,1.79970079644310e+002
1.67880401812254e+003,2.39971789965254e+002,1.79970010670827e+002
1.68267406107045e+003,2.39971789952091e+002,1.79969941538344e+002
1.68655302538872e+003,2.39971789938867e+002,1.79969872246495e+002
1.69044093164324e+003,2.39971789925582e+002,1.79969802794912e+002
1.69433780044731e+003,2.39971789912236e+002,1.79969733183227e+002
1.69824365246172e+003,2.39971789898829e+002,1.79969663411071e+002
1.70215850839493e+003,2.39971789885359e+002,1.79969593478074e+002
1.70608238900310e+003,2.39971789871827e+002,1.79969523383865e+002
1.71001531509027e+003,2.39971789858233e+002,1.79969453128073e+002
1.71395730750840e+003,2.39971789844576e+002,1.79969382710325e+002
1.71790838715757e+003,2.39971789830856e+002,1.79969312130248e+002
1.72186857498598e+003,2.39971789817073e+002,1.79969241387467e+002
1.72583789199018e+003,2.39971789803226e+002,1.79969170481608e+002
1.72981635921508e+003,2.39971789789315e+002,1.79969099412294e+002
1.73380399775412e+003,2.39971789775340e+002,1.79969028179149e+002
1.73780082874935e+003,2.39971789761300e+002,1.79968956781795e+002
1.74180687339159e+003,2.39971789747196e+002,1.79968885219854e+002
1.74582215292048e+003,2.39971789733026e+002,1.79968813492946e+002
1.74984668862463e+003,2.39971789718791e+002,1.79968741600691e+002
1.75388050184174e+003,2.39971789704491e+002,1.79968669542707e+002
1.75792361395867e+003,2.39971789690124e+002,1.79968597318614e+002
1.76197604641161e+003,2.39971789675691e+002,1.79968524928026e+002
1.76603782068614e+003,2.39971789661191e+002,1.79968452370562e+002
1.77010895831740e+003,2.39971789646625e+002,1.79968379645836e+002
1.77418948089014e+003,2.39971789631991e+002,1.79968306753463e+002
1.77827941003890e+003,2.39971789617290e+002,1.79968233693056e+002
1.78237876744807e+003,2.39971789602521e+002,1.79968160464228e+002
1.78648757485203e+003,2.39971789587683e+002,1.79968087066591e+002
1.79060585403527e+003,2.39971789572778e+002,1.79968013499755e+002
1.79473362683250e+003,2.39971789557803e+002,1.79967939763330e+002
1.79887091512876e+003,2.39971789542759e+002,1.79967865856926e+002
1.80301774085954e+003,2.39971789527646e+002,1.79967791780151e+002
1.80717412601090e+003,2.39971789512463e+002,1.79967717532611e+002
1.81134009261958e+003,2.39971789497210e+002,1.79967643113914e+002
1.81551566277311e+003,2.39971789481887e+002,1.79967568523664e+002
1.81970085860996e+003,2.39971789466493e+002,1.79967493761467e+002
1.82389570231961e+003,2.39971789451028e+002,1.79967418826926e+002
1.82810021614272e+003,2.39971789435491e+002,1.79967343719643e+002
1.83231442237119e+003,2.39971789419883e+002,1.79967268439221e+002
1.83653834334832e+003,2.39971789404203e+002,1.79967192985259e+002
1.84077200146893e+003,2.39971789388450e+002,1.79967117357359e+002
1.84501541917945e+003,2.39971789372625e+002,1.79967041555120e+002
1.84926861897805e+003,2.39971789356726e+002,1.79966965578138e+002
1.85353162341478e+003,2.39971789340754e+002,1.79966889426012e+002
1.85780445509167e+003,2.39971789324709e+002,1.79966813098338e+002
1.86208713666284e+003,2.39971789308589e+002,1.79966736594711e+002
1.86637969083464e+003,2.39971789292395e+002,1.79966659914726e+002
1.87068214036577e+003,2.39971789276126e+002,1.79966583057975e+002
1.87499450806739e+003,2.39971789259783e+002,1.79966506024052e+002
1.87931681680324e+003,2.39971789243363e+002,1.79966428812548e+002
1.88364908948977e+003,2.39971789226868e+002,1.79966351423054e+002
1.88799134909627e+003,2.39971789210297e+002,1.79966273855159e+002
1.89234361864495e+003,2.39971789193649e+002,1.79966196108452e+002
1.89670592121112e+003,2.39971789176925e+002,1.79966118182521e+002
1.90107827992327e+003,2.39971789160123e+002,1.79966040076953e+002
1.90546071796322e+003,2.39971789143244e+002,1.79965961791333e+002
1.90985325856621e+003,2.39971789126287e+002,1.79965883325248e+002
1.91425592502106e+003,2.39971789109251e+002,1.79965804678279e+002
1.91866874067026e+003,2.39971789092137e+002,1.79965725850012e+002
1.92309172891013e+003,2.39971789074944e+002,1.79965646840027e+002
1.92752491319091e+003,2.39971789057671e+002,1.79965567647906e+002
1.93196831701689e+003,2.39971789040319e+002,1.79965488273229e+002
1.93642196394658e+003,2.39971789022887e+002,1.79965408715575e+002
1.94088587759275e+003,2.39971789005374e+002,1.79965328974522e+002
1.94536008162263e+003,2.39971788987781e+002,1.79965249049648e+002
1.94984459975802e+003,2.39971788970106e+002,1.79965168940529e+002
1.95433945577536e+003,2.39971788952350e+002,1.79965088646739e+002
1.95884467350596e+003,2.39971788934511e+002,1.79965008167854e+002
1.96336027683602e+003,2.39971788916591e+002,1.79964927503447e+002
1.96788628970681e+003,2.39971788898587e+002,1.79964846653090e+002
1.97242273611482e+003,2.39971788880501e+002,1.79964765616354e+002
1.97696964011183e+003,2.39971788862331e+002,1.79964684392810e+002
1.98152702580507e+003,2.39971788844077e+002,1.79964602982026e+002
1.98609491735734e+003,2.39971788825739e+002,1.79964521383573e+002
1.99067333898715e+003,2.39971788807316e+002,1.79964439597016e+002
1.99526231496885e+003,2.39971788788808e+002,1.79964357621922e+002
1.99986186963271e+003,2.39971788770215e+002,1.79964275457857e+002
2.00447202736513e+003,2.39971788751536e+002,1.79964193104385e+002
2.00909281260870e+003,2.39971788732771e+002,1.79964110561069e+002
2.01372424986236e+003,2.39971788713919e+002,1.79964027827472e+002
2.01836636368153e+003,2.39971788694980e+002,1.79963944903156e+002
2.02301917867824e+003,2.39971788675954e+002,1.79963861787679e+002
2.02768271952125e+003,2.39971788656840e+002,1.79963778480602e+002
2.03235701093619e+003,2.39971788637638e+002,1.79963694981484e+002
2.03704207770568e+003,2.39971788618347e+002,1.79963611289881e+002
2.04173794466950e+003,2.39971788598967e+002,1.79963527405349e+002
2.04644463672464e+003,2.39971788579497e+002,1.79963443327444e+002
2.05116217882553e+003,2.39971788559938e+002,1.79963359055721e+002
2.05589059598411e+003,2.39971788540288e+002,1.79963274589732e+002
2.06062991326997e+003,2.39971788520548e+002,1.79963189929029e+002
2.06538015581049e+003,2.39971788500717e+002,1.79963105073165e+002
2.07014134879101e+003,2.39971788480794e+002,1.79963020021688e+002
2.07491351745487e+003,2.39971788460779e+002,1.79962934774148e+002
2.07969668710366e+003,2.39971788440672e+002,1.79962849330092e+002
2.08449088309725e+003,2.39971788420472e+002,1.79962763689069e+002
2.08929613085400e+003,2.39971788400178e+002,1.79962677850624e+002
2.09411245585086e+003,2.39971788379791e+002,1.79962591814301e+002
2.09893988362349e+003,2.39971788359310e+002,1.79962505579645e+002
2.10377843976644e+003,2.39971788338734e+002,1.79962419146198e+002
2.10862814993325e+003,2.39971788318064e+002,1.79962332513503e+002
2.11348903983661e+003,2.39971788297298e+002,1.79962245681099e+002
2.11836113524846e+003,2.39971788276436e+002,1.79962158648527e+002
2.12324446200018e+003,2.39971788255478e+002,1.79962071415325e+002
2.12813904598267e+003,2.39971788234423e+002,1.79961983981030e+002
2.13304491314654e+003,2.39971788213271e+002,1.79961896345180e+002
2.13796208950219e+003,2.39971788192021e+002,1.79961808507308e+002
2.14289060112002e+003,2.39971788170673e+002,1.79961720466951e+002
2.14783047413050e+003,2.39971788149227e+002,1.79961632223640e+002
2.15278173472433e+003,2.39971788127682e+002,1.79961543776908e+002
2.15774440915263e+003,2.39971788106037e+002,1.79961455126287e+002
2.16271852372698e+003,2.39971788084292e+002,1.79961366271305e+002
2.16770410481966e+003,2.39971788062447e+002,1.79961277211493e+002
2.17270117886370e+003,2.39971788040501e+002,1.79961187946377e+002
2.17770977235312e+003,2.39971788018454e+002,1.79961098475485e+002
2.18272991184296e+003,2.39971787996305e+002,1.79961008798342e+002
2.18776162394951e+003,2.39971787974054e+002,1.79960918914473e+002
2.19280493535041e+003,2.39971787951700e+002,1.79960828823401e+002
2.19785987278478e+003,2.39971787929243e+002,1.79960738524649e+002
2.20292646305342e+003,2.39971787906683e+002,1.79960648017737e+002
2.20800473301886e+003,2.39971787884018e+002,1.79960557302187e+002
2.21309470960560e+003,2.39971787861248e+002,1.79960466377516e+002
2.21819641980018e+003,2.39971787838374e+002,1.79960375243244e+002
2.22330989065136e+003,2.39971787815394e+002,1.79960283898886e+002
2.22843514927026e+003,2.39971787792307e+002,1.79960192343959e+002
2.23357222283049e+003,2.39971787769115e+002,1.79960100577976e+002
2.23872113856830e+003,2.39971787745815e+002,1.79960008600453e+002
2.24388192378272e+003,2.39971787722408e+002,1.79959916410900e+002
2.24905460583574e+003,2.39971787698892e+002,1.79959824008829e+002
2.25423921215239e+003,2.39971787675268e+002,1.79959731393751e+002
2.25943577022093e+003,2.39971787651535e+002,1.79959638565173e+002
2.26464430759302e+003,2.39971787627693e+002,1.79959545522605e+002
2.26986485188378e+003,2.39971787603740e+002,1.79959452265553e+002
2.27509743077203e+003,2.39971787579677e+002,1.79959358793522e+002
2.28034207200037e+003,2.39971787555503e+002,1.79959265106016e+002
2.28559880337539e+003,2.39971787531217e+002,1.79959171202540e+002
2.29086765276773e+003,2.39971787506819e+002,1.79959077082595e+002
2.29614864811232e+003,2.39971787482309e+002,1.79958982745682e+002
2.30144181740846e+003,2.39971787457685e+002,1.79958888191301e+002
2.30674718872002e+003,2.39971787432948e+002,1.79958793418951e+002
2.31206479017555e+003,2.39971787408096e+002,1.79958698428129e+002
2.31739464996843e+003,2.39971787383130e+002,1.79958603218332e+002
2.32273679635706e+003,2.39971787358049e+002,1.79958507789054e+002
2.32809125766496e+003,2.39971787332852e+002,1.79958412139791e+002
2.33345806228096e+003,2.39971787307538e+002,1.79958316270034e+002
2.33883723865931e+003,2.39971787282108e+002,1.79958220179276e+002
2.34422881531987e+003,2.39971787256560e+002,1.79958123867007e+002
2.34963282084826e+003,2.39971787230894e+002,1.79958027332716e+002
2.35504928389596e+003,2.39971787205110e+002,1.79957930575892e+002
2.36047823318053e+003,2.39971787179207e+002,1.79957833596021e+002
2.36591969748571e+003,2.39971787153185e+002,1.79957736392590e+002
2.37137370566161e+003,2.39971787127042e+002,1.79957638965084e+002
2.37684028662483e+003,2.39971787100778e+002,1.79957541312984e+002
2.38231946935864e+003,2.39971787074394e+002,1.79957443435775e+002
2.38781128291313e+003,2.39971787047887e+002,1.79957345332936e+002
2.39331575640534e+003,2.39971787021259e+002,1.79957247003949e+002
2.39883291901944e+003,2.39971786994507e+002,1.79957148448290e+002
2.40436280000688e+003,2.39971786967632e+002,1.79957049665439e+002
2.40990542868654e+003,2.39971786940632e+002,1.79956950654871e+002
2.41546083444489e+003,2.39971786913509e+002,1.79956851416061e+002
2.42102904673613e+003,2.39971786886260e+002,1.79956751948484e+002
2.42661009508236e+003,2.39971786858885e+002,1.79956652251611e+002
2.43220400907376e+003,2.39971786831384e+002,1.79956552324915e+002
2.43781081836870e+003,2.39971786803756e+002,1.79956452167865e+002
2.44343055269392e+003,2.39971786776000e+002,1.79956351779930e+002
2.44906324184469e+003,2.39971786748116e+002,1.79956251160579e+002
2.45470891568498e+003,2.39971786720104e+002,1.79956150309277e+002
2.46036760414758e+003,2.39971786691962e+002,1.79956049225490e+002
2.46603933723429e+003,2.39971786663690e+002,1.79955947908683e+002
2.47172414501608e+003,2.39971786635288e+002,1.79955846358317e+002
2.47742205763323e+003,2.39971786606755e+002,1.79955744573855e+002
2.48313310529552e+003,2.39971786578090e+002,1.79955642554757e+002
2.48885731828234e+003,2.39971786549293e+002,1.79955540300482e+002
2.49459472694290e+003,2.39971786520363e+002,1.79955437810488e+002
2.50034536169638e+003,2.39971786491299e+002,1.79955335084232e+002
2.50610925303206e+003,2.39971786462101e+002,1.79955232121168e+002
2.51188643150953e+003,2.39971786432769e+002,1.79955128920752e+002
2.51767692775880e+003,2.39971786403301e+002,1.79955025482435e+002
2.52348077248052e+003,2.39971786373697e+002,1.79954921805670e+002
2.52929799644609e+003,2.39971786343956e+002,1.79954817889906e+002
2.53512863049785e+003,2.39971786314078e+002,1.79954713734594e+002
2.54097270554925e+003,2.39971786284062e+002,1.79954609339180e+002
2.54683025258499e+003,2.39971786253908e+002,1.79954504703111e+002
2.55270130266119e+003,2.39971786223614e+002,1.79954399825832e+002
2.55858588690559e+003,2.39971786193181e+002,1.79954294706788e+002
2.56448403651766e+003,2.39971786162607e+002,1.79954189345421e+002
2.57039578276881e+003,2.39971786131892e+002,1.79954083741173e+002
2.57632115700252e+003,2.39971786101035e+002,1.79953977893483e+002
2.58226019063454e+003,2.39971786070036e+002,1.79953871801791e+002
2.58821291515303e+003,2.39971786038894e+002,1.79953765465533e+002
2.59417936211876e+003,2.39971786007608e+002,1.79953658884146e+002
2.60015956316521e+003,2.39971785976177e+002,1.79953552057066e+002
2.60615354999884e+003,2.39971785944602e+002,1.79953444983725e+002
2.61216135439915e+003,2.39971785912881e+002,1.79953337663557e+002
2.61818300821893e+003,2.39971785881013e+002,1.79953230095991e+002
2.62421854338438e+003,2.39971785848998e+002,1.79953122280458e+002
2.63026799189532e+003,2.39971785816836e+002,1.79953014216386e+002
2.63633138582532e+003,2.39971785784525e+002,1.79952905903203e+002
2.64240875732189e+003,2.39971785752065e+002,1.79952797340333e+002
