Freq.	V(n005)/I(C2)
2.95120922666638e-001	(1.49153245647533e+002dB,9.00000001451971e+001°)
3.01995172040201e-001	(1.48953245647532e+002dB,9.00000001485792e+001°)
3.09029543251359e-001	(1.48753245647530e+002dB,9.00000001520400e+001°)
3.16227766016838e-001	(1.48553245647529e+002dB,9.00000001555815e+001°)
3.23593656929628e-001	(1.48353245647527e+002dB,9.00000001592055e+001°)
3.31131121482591e-001	(1.48153245647526e+002dB,9.00000001629138e+001°)
3.38844156139202e-001	(1.47953245647524e+002dB,9.00000001667086e+001°)
3.46736850452531e-001	(1.47753245647522e+002dB,9.00000001705917e+001°)
3.54813389233575e-001	(1.47553245647520e+002dB,9.00000001745653e+001°)
3.63078054770101e-001	(1.47353245647518e+002dB,9.00000001786315e+001°)
3.71535229097172e-001	(1.47153245647516e+002dB,9.00000001827923e+001°)
3.80189396320561e-001	(1.46953245647513e+002dB,9.00000001870501e+001°)
3.89045144994280e-001	(1.46753245647511e+002dB,9.00000001914071e+001°)
3.98107170553497e-001	(1.46553245647508e+002dB,9.00000001958655e+001°)
4.07380277804112e-001	(1.46353245647506e+002dB,9.00000002004278e+001°)
4.16869383470335e-001	(1.46153245647503e+002dB,9.00000002050964e+001°)
4.26579518801592e-001	(1.45953245647500e+002dB,9.00000002098737e+001°)
4.36515832240165e-001	(1.45753245647497e+002dB,9.00000002147623e+001°)
4.46683592150962e-001	(1.45553245647494e+002dB,9.00000002197647e+001°)
4.57088189614874e-001	(1.45353245647491e+002dB,9.00000002248837e+001°)
4.67735141287197e-001	(1.45153245647487e+002dB,9.00000002301219e+001°)
4.78630092322638e-001	(1.44953245647484e+002dB,9.00000002354821e+001°)
4.89778819368445e-001	(1.44753245647480e+002dB,9.00000002409672e+001°)
5.01187233627271e-001	(1.44553245647476e+002dB,9.00000002465800e+001°)
5.12861383991364e-001	(1.44353245647472e+002dB,9.00000002523236e+001°)
5.24807460249772e-001	(1.44153245647467e+002dB,9.00000002582010e+001°)
5.37031796370252e-001	(1.43953245647463e+002dB,9.00000002642153e+001°)
5.49540873857624e-001	(1.43753245647458e+002dB,9.00000002703697e+001°)
5.62341325190348e-001	(1.43553245647453e+002dB,9.00000002766674e+001°)
5.75439937337156e-001	(1.43353245647448e+002dB,9.00000002831118e+001°)
5.88843655355588e-001	(1.43153245647442e+002dB,9.00000002897063e+001°)
6.02559586074357e-001	(1.42953245647436e+002dB,9.00000002964544e+001°)
6.16595001861481e-001	(1.42753245647430e+002dB,9.00000003033597e+001°)
6.30957344480192e-001	(1.42553245647424e+002dB,9.00000003104259e+001°)
6.45654229034654e-001	(1.42353245647417e+002dB,9.00000003176566e+001°)
6.60693448007595e-001	(1.42153245647411e+002dB,9.00000003250558e+001°)
6.76082975391981e-001	(1.41953245647403e+002dB,9.00000003326273e+001°)
6.91830970918935e-001	(1.41753245647396e+002dB,9.00000003403752e+001°)
7.07945784384137e-001	(1.41553245647388e+002dB,9.00000003483036e+001°)
7.24435960074989e-001	(1.41353245647379e+002dB,9.00000003564166e+001°)
7.41310241300916e-001	(1.41153245647371e+002dB,9.00000003647186e+001°)
7.58577575029182e-001	(1.40953245647362e+002dB,9.00000003732140e+001°)
7.76247116628690e-001	(1.40753245647352e+002dB,9.00000003819073e+001°)
7.94328234724280e-001	(1.40553245647342e+002dB,9.00000003908031e+001°)
8.12830516164098e-001	(1.40353245647332e+002dB,9.00000003999060e+001°)
8.31763771102669e-001	(1.40153245647321e+002dB,9.00000004092210e+001°)
8.51138038202375e-001	(1.39953245647309e+002dB,9.00000004187530e+001°)
8.70963589956079e-001	(1.39753245647297e+002dB,9.00000004285070e+001°)
8.91250938133744e-001	(1.39553245647285e+002dB,9.00000004384882e+001°)
9.12010839355908e-001	(1.39353245647271e+002dB,9.00000004487019e+001°)
9.33254300796989e-001	(1.39153245647258e+002dB,9.00000004591535e+001°)
9.54992586021434e-001	(1.38953245647243e+002dB,9.00000004698486e+001°)
9.77237220955809e-001	(1.38753245647228e+002dB,9.00000004807928e+001°)
9.99999999999998e-001	(1.38553245647212e+002dB,9.00000004919919e+001°)
1.02329299228075e+000	(1.38353245647196e+002dB,9.00000005034518e+001°)
1.04712854805090e+000	(1.38153245647178e+002dB,9.00000005151787e+001°)
1.07151930523760e+000	(1.37953245647160e+002dB,9.00000005271788e+001°)
1.09647819614318e+000	(1.37753245647141e+002dB,9.00000005394584e+001°)
1.12201845430196e+000	(1.37553245647121e+002dB,9.00000005520240e+001°)
1.14815362149688e+000	(1.37353245647100e+002dB,9.00000005648823e+001°)
1.17489755493953e+000	(1.37153245647078e+002dB,9.00000005780400e+001°)
1.20226443461741e+000	(1.36953245647056e+002dB,9.00000005915043e+001°)
1.23026877081238e+000	(1.36753245647032e+002dB,9.00000006052822e+001°)
1.25892541179416e+000	(1.36553245647006e+002dB,9.00000006193811e+001°)
1.28824955169313e+000	(1.36353245646980e+002dB,9.00000006338083e+001°)
1.31825673855640e+000	(1.36153245646953e+002dB,9.00000006485716e+001°)
1.34896288259165e+000	(1.35953245646924e+002dB,9.00000006636788e+001°)
1.38038426460288e+000	(1.35753245646894e+002dB,9.00000006791379e+001°)
1.41253754462275e+000	(1.35553245646862e+002dB,9.00000006949570e+001°)
1.44543977074592e+000	(1.35353245646829e+002dB,9.00000007111446e+001°)
1.47910838816820e+000	(1.35153245646794e+002dB,9.00000007277093e+001°)
1.51356124843620e+000	(1.34953245646758e+002dB,9.00000007446598e+001°)
1.54881661891248e+000	(1.34753245646720e+002dB,9.00000007620052e+001°)
1.58489319246111e+000	(1.34553245646680e+002dB,9.00000007797546e+001°)
1.62181009735892e+000	(1.34353245646639e+002dB,9.00000007979174e+001°)
1.65958690743756e+000	(1.34153245646595e+002dB,9.00000008165033e+001°)
1.69824365246174e+000	(1.33953245646549e+002dB,9.00000008355221e+001°)
1.73780082874937e+000	(1.33753245646502e+002dB,9.00000008549839e+001°)
1.77827941003892e+000	(1.33553245646451e+002dB,9.00000008748990e+001°)
1.81970085860998e+000	(1.33353245646399e+002dB,9.00000008952780e+001°)
1.86208713666286e+000	(1.33153245646344e+002dB,9.00000009161317e+001°)
1.90546071796324e+000	(1.32953245646287e+002dB,9.00000009374712e+001°)
1.94984459975804e+000	(1.32753245646226e+002dB,9.00000009593077e+001°)
1.99526231496887e+000	(1.32553245646163e+002dB,9.00000009816528e+001°)
2.04173794466952e+000	(1.32353245646097e+002dB,9.00000010045185e+001°)
2.08929613085403e+000	(1.32153245646028e+002dB,9.00000010279167e+001°)
2.13796208950223e+000	(1.31953245645956e+002dB,9.00000010518600e+001°)
2.18776162394955e+000	(1.31753245645880e+002dB,9.00000010763609e+001°)
2.23872113856833e+000	(1.31553245645801e+002dB,9.00000011014326e+001°)
2.29086765276777e+000	(1.31353245645718e+002dB,9.00000011270883e+001°)
2.34422881531991e+000	(1.31153245645631e+002dB,9.00000011533415e+001°)
2.39883291901948e+000	(1.30953245645539e+002dB,9.00000011802063e+001°)
2.45470891568502e+000	(1.30753245645444e+002dB,9.00000012076968e+001°)
2.51188643150957e+000	(1.30553245645344e+002dB,9.00000012358277e+001°)
2.57039578276886e+000	(1.30353245645239e+002dB,9.00000012646138e+001°)
2.63026799189537e+000	(1.30153245645130e+002dB,9.00000012940705e+001°)
2.69153480392691e+000	(1.29953245645015e+002dB,9.00000013242132e+001°)
2.75422870333816e+000	(1.29753245644895e+002dB,9.00000013550581e+001°)
2.81838293126444e+000	(1.29553245644769e+002dB,9.00000013866215e+001°)
2.88403150312660e+000	(1.29353245644638e+002dB,9.00000014189201e+001°)
2.95120922666637e+000	(1.29153245644500e+002dB,9.00000014519709e+001°)
3.01995172040200e+000	(1.28953245644355e+002dB,9.00000014857917e+001°)
3.09029543251358e+000	(1.28753245644204e+002dB,9.00000015204002e+001°)
3.16227766016837e+000	(1.28553245644046e+002dB,9.00000015558149e+001°)
3.23593656929627e+000	(1.28353245643880e+002dB,9.00000015920545e+001°)
3.31131121482590e+000	(1.28153245643706e+002dB,9.00000016291382e+001°)
3.38844156139201e+000	(1.27953245643524e+002dB,9.00000016670857e+001°)
3.46736850452530e+000	(1.27753245643334e+002dB,9.00000017059171e+001°)
3.54813389233574e+000	(1.27553245643135e+002dB,9.00000017456530e+001°)
3.63078054770100e+000	(1.27353245642926e+002dB,9.00000017863145e+001°)
3.71535229097171e+000	(1.27153245642707e+002dB,9.00000018279231e+001°)
3.80189396320560e+000	(1.26953245642478e+002dB,9.00000018705009e+001°)
3.89045144994279e+000	(1.26753245642239e+002dB,9.00000019140704e+001°)
3.98107170553496e+000	(1.26553245641988e+002dB,9.00000019586549e+001°)
4.07380277804111e+000	(1.26353245641725e+002dB,9.00000020042778e+001°)
4.16869383470334e+000	(1.26153245641450e+002dB,9.00000020509634e+001°)
4.26579518801591e+000	(1.25953245641161e+002dB,9.00000020987365e+001°)
4.36515832240164e+000	(1.25753245640860e+002dB,9.00000021476223e+001°)
4.46683592150961e+000	(1.25553245640544e+002dB,9.00000021976469e+001°)
4.57088189614873e+000	(1.25353245640213e+002dB,9.00000022488367e+001°)
4.67735141287196e+000	(1.25153245639866e+002dB,9.00000023012188e+001°)
4.78630092322636e+000	(1.24953245639504e+002dB,9.00000023548210e+001°)
4.89778819368444e+000	(1.24753245639124e+002dB,9.00000024096719e+001°)
5.01187233627270e+000	(1.24553245638726e+002dB,9.00000024658003e+001°)
5.12861383991363e+000	(1.24353245638309e+002dB,9.00000025232362e+001°)
5.24807460249770e+000	(1.24153245637873e+002dB,9.00000025820099e+001°)
5.37031796370250e+000	(1.23953245637417e+002dB,9.00000026421526e+001°)
5.49540873857622e+000	(1.23753245636938e+002dB,9.00000027036962e+001°)
5.62341325190346e+000	(1.23553245636437e+002dB,9.00000027666734e+001°)
5.75439937337154e+000	(1.23353245635913e+002dB,9.00000028311175e+001°)
5.88843655355586e+000	(1.23153245635364e+002dB,9.00000028970627e+001°)
6.02559586074355e+000	(1.22953245634789e+002dB,9.00000029645439e+001°)
6.16595001861479e+000	(1.22753245634187e+002dB,9.00000030335970e+001°)
6.30957344480190e+000	(1.22553245633556e+002dB,9.00000031042585e+001°)
6.45654229034652e+000	(1.22353245632896e+002dB,9.00000031765660e+001°)
6.60693448007593e+000	(1.22153245632205e+002dB,9.00000032505577e+001°)
6.76082975391978e+000	(1.21953245631481e+002dB,9.00000033262729e+001°)
6.91830970918933e+000	(1.21753245630723e+002dB,9.00000034037517e+001°)
7.07945784384134e+000	(1.21553245629930e+002dB,9.00000034830353e+001°)
7.24435960074986e+000	(1.21353245629098e+002dB,9.00000035641656e+001°)
7.41310241300914e+000	(1.21153245628228e+002dB,9.00000036471856e+001°)
7.58577575029180e+000	(1.20953245627317e+002dB,9.00000037321394e+001°)
7.76247116628688e+000	(1.20753245626363e+002dB,9.00000038190721e+001°)
7.94328234724277e+000	(1.20553245625364e+002dB,9.00000039080297e+001°)
8.12830516164095e+000	(1.20353245624317e+002dB,9.00000039990594e+001°)
8.31763771102667e+000	(1.20153245623222e+002dB,9.00000040922094e+001°)
8.51138038202372e+000	(1.19953245622074e+002dB,9.00000041875292e+001°)
8.70963589956076e+000	(1.19753245620873e+002dB,9.00000042850692e+001°)
8.91250938133741e+000	(1.19553245619615e+002dB,9.00000043848813e+001°)
9.12010839355905e+000	(1.19353245618298e+002dB,9.00000044870182e+001°)
9.33254300796986e+000	(1.19153245616919e+002dB,9.00000045915342e+001°)
9.54992586021431e+000	(1.18953245615474e+002dB,9.00000046984847e+001°)
9.77237220955806e+000	(1.18753245613962e+002dB,9.00000048079265e+001°)
9.99999999999995e+000	(1.18553245612379e+002dB,9.00000049199174e+001°)
1.02329299228075e+001	(1.18353245610720e+002dB,9.00000050345169e+001°)
1.04712854805089e+001	(1.18153245608984e+002dB,9.00000051517858e+001°)
1.07151930523760e+001	(1.17953245607166e+002dB,9.00000052717862e+001°)
1.09647819614318e+001	(1.17753245605262e+002dB,9.00000053945818e+001°)
1.12201845430196e+001	(1.17553245603268e+002dB,9.00000055202377e+001°)
1.14815362149688e+001	(1.17353245601180e+002dB,9.00000056488205e+001°)
1.17489755493952e+001	(1.17153245598994e+002dB,9.00000057803983e+001°)
1.20226443461741e+001	(1.16953245596705e+002dB,9.00000059150410e+001°)
1.23026877081237e+001	(1.16753245594309e+002dB,9.00000060528198e+001°)
1.25892541179416e+001	(1.16553245591799e+002dB,9.00000061938080e+001°)
1.28824955169313e+001	(1.16353245589171e+002dB,9.00000063380802e+001°)
1.31825673855640e+001	(1.16153245586419e+002dB,9.00000064857129e+001°)
1.34896288259165e+001	(1.15953245583537e+002dB,9.00000066367844e+001°)
1.38038426460288e+001	(1.15753245580519e+002dB,9.00000067913748e+001°)
1.41253754462275e+001	(1.15553245577360e+002dB,9.00000069495661e+001°)
1.44543977074592e+001	(1.15353245574051e+002dB,9.00000071114421e+001°)
1.47910838816820e+001	(1.15153245570586e+002dB,9.00000072770886e+001°)
1.51356124843620e+001	(1.14953245566958e+002dB,9.00000074465936e+001°)
1.54881661891247e+001	(1.14753245563160e+002dB,9.00000076200468e+001°)
1.58489319246110e+001	(1.14553245559182e+002dB,9.00000077975402e+001°)
1.62181009735892e+001	(1.14353245555016e+002dB,9.00000079791680e+001°)
1.65958690743755e+001	(1.14153245550655e+002dB,9.00000081650264e+001°)
1.69824365246173e+001	(1.13953245546088e+002dB,9.00000083552140e+001°)
1.73780082874936e+001	(1.13753245541305e+002dB,9.00000085498316e+001°)
1.77827941003891e+001	(1.13553245536297e+002dB,9.00000087489824e+001°)
1.81970085860997e+001	(1.13353245531054e+002dB,9.00000089527720e+001°)
1.86208713666286e+001	(1.13153245525563e+002dB,9.00000091613085e+001°)
1.90546071796323e+001	(1.12953245519813e+002dB,9.00000093747023e+001°)
1.94984459975803e+001	(1.12753245513792e+002dB,9.00000095930667e+001°)
1.99526231496887e+001	(1.12553245507488e+002dB,9.00000098165174e+001°)
2.04173794466952e+001	(1.12353245500886e+002dB,9.00000100451730e+001°)
2.08929613085403e+001	(1.12153245493973e+002dB,9.00000102791545e+001°)
2.13796208950222e+001	(1.11953245486735e+002dB,9.00000105185862e+001°)
2.18776162394954e+001	(1.11753245479155e+002dB,9.00000107635949e+001°)
2.23872113856832e+001	(1.11553245471218e+002dB,9.00000110143105e+001°)
2.29086765276776e+001	(1.11353245462907e+002dB,9.00000112708660e+001°)
2.34422881531991e+001	(1.11153245454205e+002dB,9.00000115333974e+001°)
2.39883291901947e+001	(1.10953245445092e+002dB,9.00000118020438e+001°)
2.45470891568501e+001	(1.10753245435550e+002dB,9.00000120769478e+001°)
2.51188643150956e+001	(1.10553245425558e+002dB,9.00000123582550e+001°)
2.57039578276885e+001	(1.10353245415095e+002dB,9.00000126461147e+001°)
2.63026799189536e+001	(1.10153245404139e+002dB,9.00000129406794e+001°)
2.69153480392690e+001	(1.09953245392667e+002dB,9.00000132421054e+001°)
2.75422870333815e+001	(1.09753245380654e+002dB,9.00000135505523e+001°)
2.81838293126443e+001	(1.09553245368075e+002dB,9.00000138661838e+001°)
2.88403150312659e+001	(1.09353245354903e+002dB,9.00000141891672e+001°)
2.95120922666636e+001	(1.09153245341110e+002dB,9.00000145196737e+001°)
3.01995172040199e+001	(1.08953245326667e+002dB,9.00000148578786e+001°)
3.09029543251357e+001	(1.08753245311544e+002dB,9.00000152039612e+001°)
3.16227766016836e+001	(1.08553245295708e+002dB,9.00000155581050e+001°)
3.23593656929626e+001	(1.08353245279125e+002dB,9.00000159204977e+001°)
3.31131121482589e+001	(1.08153245261761e+002dB,9.00000162913314e+001°)
3.38844156139200e+001	(1.07953245243579e+002dB,9.00000166708028e+001°)
3.46736850452529e+001	(1.07753245224540e+002dB,9.00000170591131e+001°)
3.54813389233573e+001	(1.07553245204603e+002dB,9.00000174564680e+001°)
3.63078054770099e+001	(1.07353245183727e+002dB,9.00000178630784e+001°)
3.71535229097170e+001	(1.07153245161867e+002dB,9.00000182791597e+001°)
3.80189396320558e+001	(1.06953245138977e+002dB,9.00000187049326e+001°)
3.89045144994278e+001	(1.06753245115008e+002dB,9.00000191406227e+001°)
3.98107170553494e+001	(1.06553245089909e+002dB,9.00000195864611e+001°)
4.07380277804110e+001	(1.06353245063628e+002dB,9.00000200426842e+001°)
4.16869383470332e+001	(1.06153245036108e+002dB,9.00000205095337e+001°)
4.26579518801589e+001	(1.05953245007291e+002dB,9.00000209872572e+001°)
4.36515832240163e+001	(1.05753244977115e+002dB,9.00000214761080e+001°)
4.46683592150960e+001	(1.05553244945518e+002dB,9.00000219763452e+001°)
4.57088189614871e+001	(1.05353244912432e+002dB,9.00000224882340e+001°)
4.67735141287194e+001	(1.05153244877786e+002dB,9.00000230120458e+001°)
4.78630092322634e+001	(1.04953244841508e+002dB,9.00000235480583e+001°)
4.89778819368442e+001	(1.04753244803519e+002dB,9.00000240965556e+001°)
5.01187233627268e+001	(1.04553244763741e+002dB,9.00000246578286e+001°)
5.12861383991361e+001	(1.04353244722087e+002dB,9.00000252321747e+001°)
5.24807460249768e+001	(1.04153244678471e+002dB,9.00000258198984e+001°)
5.37031796370248e+001	(1.03953244632799e+002dB,9.00000264213113e+001°)
5.49540873857620e+001	(1.03753244584975e+002dB,9.00000270367323e+001°)
5.62341325190344e+001	(1.03553244534896e+002dB,9.00000276664875e+001°)
5.75439937337152e+001	(1.03353244482458e+002dB,9.00000283109107e+001°)
5.88843655355584e+001	(1.03153244427548e+002dB,9.00000289703437e+001°)
6.02559586074353e+001	(1.02953244370050e+002dB,9.00000296451359e+001°)
6.16595001861477e+001	(1.02753244309843e+002dB,9.00000303356450e+001°)
6.30957344480188e+001	(1.02553244246798e+002dB,9.00000310422372e+001°)
6.45654229034650e+001	(1.02353244180782e+002dB,9.00000317652868e+001°)
6.60693448007590e+001	(1.02153244111655e+002dB,9.00000325051772e+001°)
6.76082975391976e+001	(1.01953244039270e+002dB,9.00000332623005e+001°)
6.91830970918930e+001	(1.01753243963473e+002dB,9.00000340370582e+001°)
7.07945784384132e+001	(1.01553243884104e+002dB,9.00000348298607e+001°)
7.24435960074984e+001	(1.01353243800995e+002dB,9.00000356411284e+001°)
7.41310241300911e+001	(1.01153243713969e+002dB,9.00000364712913e+001°)
7.58577575029177e+001	(1.00953243622841e+002dB,9.00000373207893e+001°)
7.76247116628685e+001	(1.00753243527419e+002dB,9.00000381900727e+001°)
7.94328234724274e+001	(1.00553243427500e+002dB,9.00000390796021e+001°)
8.12830516164092e+001	(1.00353243322871e+002dB,9.00000399898492e+001°)
8.31763771102664e+001	(1.00153243213312e+002dB,9.00000409212961e+001°)
8.51138038202369e+001	(9.99532430985890e+001dB,9.00000418744367e+001°)
8.70963589956073e+001	(9.97532429784595e+001dB,9.00000428497760e+001°)
8.91250938133737e+001	(9.95532428526685e+001dB,9.00000438478309e+001°)
9.12010839355901e+001	(9.93532427209491e+001dB,9.00000448691302e+001°)
9.33254300796982e+001	(9.91532425830219e+001dB,9.00000459142153e+001°)
9.54992586021427e+001	(9.89532424385945e+001dB,9.00000469836399e+001°)
9.77237220955802e+001	(9.87532422873604e+001dB,9.00000480779706e+001°)
9.99999999999991e+001	(9.85532421289988e+001dB,9.00000491977874e+001°)
1.02329299228074e+002	(9.83532419631739e+001dB,9.00000503436835e+001°)
1.04712854805089e+002	(9.81532417895339e+001dB,9.00000515162662e+001°)
1.07151930523760e+002	(9.79532416077105e+001dB,9.00000527161566e+001°)
1.09647819614317e+002	(9.77532414173180e+001dB,9.00000539439905e+001°)
1.12201845430195e+002	(9.75532412179526e+001dB,9.00000552004185e+001°)
1.14815362149687e+002	(9.73532410091914e+001dB,9.00000564861060e+001°)
1.17489755493952e+002	(9.71532407905915e+001dB,9.00000578017342e+001°)
1.20226443461740e+002	(9.69532405616894e+001dB,9.00000591480000e+001°)
1.23026877081237e+002	(9.67532403219994e+001dB,9.00000605256165e+001°)
1.25892541179416e+002	(9.65532400710132e+001dB,9.00000619353135e+001°)
1.28824955169312e+002	(9.63532398081984e+001dB,9.00000633778375e+001°)
1.31825673855639e+002	(9.61532395329974e+001dB,9.00000648539526e+001°)
1.34896288259164e+002	(9.59532392448266e+001dB,9.00000663644404e+001°)
1.38038426460287e+002	(9.57532389430748e+001dB,9.00000679101010e+001°)
1.41253754462274e+002	(9.55532386271018e+001dB,9.00000694917528e+001°)
1.44543977074591e+002	(9.53532382962375e+001dB,9.00000711102333e+001°)
1.47910838816819e+002	(9.51532379497800e+001dB,9.00000727663995e+001°)
1.51356124843619e+002	(9.49532375869944e+001dB,9.00000744611281e+001°)
1.54881661891247e+002	(9.47532372071113e+001dB,9.00000761953164e+001°)
1.58489319246110e+002	(9.45532368093248e+001dB,9.00000779698824e+001°)
1.62181009735891e+002	(9.43532363927911e+001dB,9.00000797857653e+001°)
1.65958690743754e+002	(9.41532359566269e+001dB,9.00000816439264e+001°)
1.69824365246173e+002	(9.39532354999068e+001dB,9.00000835453490e+001°)
1.73780082874936e+002	(9.37532350216621e+001dB,9.00000854910394e+001°)
1.77827941003890e+002	(9.35532345208785e+001dB,9.00000874820271e+001°)
1.81970085860996e+002	(9.33532339964936e+001dB,9.00000895193654e+001°)
1.86208713666285e+002	(9.31532334473951e+001dB,9.00000916041323e+001°)
1.90546071796323e+002	(9.29532328724184e+001dB,9.00000937374306e+001°)
1.94984459975802e+002	(9.27532322703439e+001dB,9.00000959203885e+001°)
1.99526231496886e+002	(9.25532316398944e+001dB,9.00000981541607e+001°)
2.04173794466951e+002	(9.23532309797327e+001dB,9.00001004399283e+001°)
2.08929613085402e+002	(9.21532302884584e+001dB,9.00001027788999e+001°)
2.13796208950221e+002	(9.19532295646054e+001dB,9.00001051723120e+001°)
2.18776162394953e+002	(9.17532288066381e+001dB,9.00001076214298e+001°)
2.23872113856832e+002	(9.15532280129489e+001dB,9.00001101275477e+001°)
2.29086765276775e+002	(9.13532271818542e+001dB,9.00001126919900e+001°)
2.34422881531990e+002	(9.11532263115911e+001dB,9.00001153161116e+001°)
2.39883291901946e+002	(9.09532254003136e+001dB,9.00001180012988e+001°)
2.45470891568500e+002	(9.07532244460889e+001dB,9.00001207489697e+001°)
2.51188643150955e+002	(9.05532234468929e+001dB,9.00001235605755e+001°)
2.57039578276884e+002	(9.03532224006060e+001dB,9.00001264376006e+001°)
2.63026799189535e+002	(9.01532213050090e+001dB,9.00001293815636e+001°)
2.69153480392689e+002	(8.99532201577780e+001dB,9.00001323940183e+001°)
2.75422870333814e+002	(8.97532189564795e+001dB,9.00001354765541e+001°)
2.81838293126442e+002	(8.95532176985653e+001dB,9.00001386307973e+001°)
2.88403150312657e+002	(8.93532163813673e+001dB,9.00001418584113e+001°)
2.95120922666635e+002	(8.91532150020914e+001dB,9.00001451610979e+001°)
3.01995172040198e+002	(8.89532135578120e+001dB,9.00001485405981e+001°)
3.09029543251356e+002	(8.87532120454655e+001dB,9.00001519986929e+001°)
3.16227766016834e+002	(8.85532104618441e+001dB,9.00001555372039e+001°)
3.23593656929625e+002	(8.83532088035886e+001dB,9.00001591579949e+001°)
3.31131121482587e+002	(8.81532070671815e+001dB,9.00001628629722e+001°)
3.38844156139199e+002	(8.79532052489397e+001dB,9.00001666540858e+001°)
3.46736850452528e+002	(8.77532033450064e+001dB,9.00001705333304e+001°)
3.54813389233572e+002	(8.75532013513430e+001dB,9.00001745027463e+001°)
3.63078054770097e+002	(8.73531992637207e+001dB,9.00001785644204e+001°)
3.71535229097168e+002	(8.71531970777112e+001dB,9.00001827204872e+001°)
3.80189396320557e+002	(8.69531947886776e+001dB,9.00001869731301e+001°)
3.89045144994276e+002	(8.67531923917645e+001dB,9.00001913245820e+001°)
3.98107170553493e+002	(8.65531898818877e+001dB,9.00001957771268e+001°)
4.07380277804108e+002	(8.63531872537232e+001dB,9.00002003331002e+001°)
4.16869383470331e+002	(8.61531845016962e+001dB,9.00002049948910e+001°)
4.26579518801588e+002	(8.59531816199693e+001dB,9.00002097649424e+001°)
4.36515832240161e+002	(8.57531786024296e+001dB,9.00002146457525e+001°)
4.46683592150958e+002	(8.55531754426766e+001dB,9.00002196398763e+001°)
4.57088189614870e+002	(8.53531721340077e+001dB,9.00002247499264e+001°)
