Freq.	V(pp)/i(R6)
1.19124200802737e+000	(1.19852190316854e+002dB,1.76257828979294e+002°)
1.19398810446427e+000	(1.19852106043689e+002dB,1.76249226490734e+002°)
1.19674053130724e+000	(1.19852021383181e+002dB,1.76240604337922e+002°)
1.19949930314938e+000	(1.19851936333559e+002dB,1.76231962476675e+002°)
1.20226443461741e+000	(1.19851850893042e+002dB,1.76223300862717e+002°)
1.20503594037179e+000	(1.19851765059844e+002dB,1.76214619451674e+002°)
1.20781383510678e+000	(1.19851678832163e+002dB,1.76205918199084e+002°)
1.21059813355048e+000	(1.19851592208195e+002dB,1.76197197060387e+002°)
1.21338885046497e+000	(1.19851505186131e+002dB,1.76188455990925e+002°)
1.21618600064636e+000	(1.19851417764145e+002dB,1.76179694945952e+002°)
1.21898959892486e+000	(1.19851329940406e+002dB,1.76170913880624e+002°)
1.22179966016487e+000	(1.19851241713081e+002dB,1.76162112750000e+002°)
1.22461619926504e+000	(1.19851153080318e+002dB,1.76153291509047e+002°)
1.22743923115840e+000	(1.19851064040270e+002dB,1.76144450112632e+002°)
1.23026877081238e+000	(1.19850974591068e+002dB,1.76135588515533e+002°)
1.23310483322890e+000	(1.19850884730841e+002dB,1.76126706672426e+002°)
1.23594743344451e+000	(1.19850794457706e+002dB,1.76117804537897e+002°)
1.23879658653036e+000	(1.19850703769781e+002dB,1.76108882066428e+002°)
1.24165230759241e+000	(1.19850612665163e+002dB,1.76099939212413e+002°)
1.24451461177138e+000	(1.19850521141954e+002dB,1.76090975930143e+002°)
1.24738351424294e+000	(1.19850429198229e+002dB,1.76081992173819e+002°)
1.25025903021771e+000	(1.19850336832074e+002dB,1.76072987897538e+002°)
1.25314117494141e+000	(1.19850244041548e+002dB,1.76063963055307e+002°)
1.25602996369487e+000	(1.19850150824721e+002dB,1.76054917601030e+002°)
1.25892541179416e+000	(1.19850057179633e+002dB,1.76045851488519e+002°)
1.26182753459066e+000	(1.19849963104338e+002dB,1.76036764671482e+002°)
1.26473634747115e+000	(1.19849868596857e+002dB,1.76027657103538e+002°)
1.26765186585784e+000	(1.19849773655222e+002dB,1.76018528738200e+002°)
1.27057410520854e+000	(1.19849678277443e+002dB,1.76009379528890e+002°)
1.27350308101666e+000	(1.19849582461530e+002dB,1.76000209428926e+002°)
1.27643880881134e+000	(1.19849486205478e+002dB,1.75991018391533e+002°)
1.27938130415752e+000	(1.19849389507275e+002dB,1.75981806369835e+002°)
1.28233058265602e+000	(1.19849292364899e+002dB,1.75972573316857e+002°)
1.28528665994361e+000	(1.19849194776324e+002dB,1.75963319185525e+002°)
1.28824955169313e+000	(1.19849096739506e+002dB,1.75954043928669e+002°)
1.29121927361353e+000	(1.19848998252398e+002dB,1.75944747499018e+002°)
1.29419584144998e+000	(1.19848899312942e+002dB,1.75935429849201e+002°)
1.29717927098395e+000	(1.19848799919069e+002dB,1.75926090931751e+002°)
1.30016957803328e+000	(1.19848700068707e+002dB,1.75916730699095e+002°)
1.30316677845229e+000	(1.19848599759764e+002dB,1.75907349103570e+002°)
1.30617088813183e+000	(1.19848498990151e+002dB,1.75897946097402e+002°)
1.30918192299940e+000	(1.19848397757757e+002dB,1.75888521632727e+002°)
1.31219989901920e+000	(1.19848296060474e+002dB,1.75879075661573e+002°)
1.31522483219223e+000	(1.19848193896172e+002dB,1.75869608135874e+002°)
1.31825673855640e+000	(1.19848091262720e+002dB,1.75860119007460e+002°)
1.32129563418657e+000	(1.19847988157975e+002dB,1.75850608228062e+002°)
1.32434153519466e+000	(1.19847884579782e+002dB,1.75841075749308e+002°)
1.32739445772973e+000	(1.19847780525983e+002dB,1.75831521522726e+002°)
1.33045441797808e+000	(1.19847675994403e+002dB,1.75821945499744e+002°)
1.33352143216332e+000	(1.19847570982856e+002dB,1.75812347631689e+002°)
1.33659551654643e+000	(1.19847465489155e+002dB,1.75802727869785e+002°)
1.33967668742593e+000	(1.19847359511095e+002dB,1.75793086165154e+002°)
1.34276496113786e+000	(1.19847253046466e+002dB,1.75783422468818e+002°)
1.34586035405594e+000	(1.19847146093045e+002dB,1.75773736731697e+002°)
1.34896288259164e+000	(1.19847038648604e+002dB,1.75764028904605e+002°)
1.35207256319427e+000	(1.19846930710893e+002dB,1.75754298938262e+002°)
1.35518941235103e+000	(1.19846822277664e+002dB,1.75744546783277e+002°)
1.35831344658715e+000	(1.19846713346656e+002dB,1.75734772390161e+002°)
1.36144468246594e+000	(1.19846603915596e+002dB,1.75724975709321e+002°)
1.36458313658892e+000	(1.19846493982200e+002dB,1.75715156691062e+002°)
1.36772882559584e+000	(1.19846383544174e+002dB,1.75705315285585e+002°)
1.37088176616484e+000	(1.19846272599215e+002dB,1.75695451442989e+002°)
1.37404197501251e+000	(1.19846161145012e+002dB,1.75685565113268e+002°)
1.37720946889394e+000	(1.19846049179239e+002dB,1.75675656246312e+002°)
1.38038426460288e+000	(1.19845936699559e+002dB,1.75665724791911e+002°)
1.38356637897177e+000	(1.19845823703630e+002dB,1.75655770699748e+002°)
1.38675582887188e+000	(1.19845710189092e+002dB,1.75645793919403e+002°)
1.38995263121334e+000	(1.19845596153582e+002dB,1.75635794400351e+002°)
1.39315680294529e+000	(1.19845481594722e+002dB,1.75625772091964e+002°)
1.39636836105593e+000	(1.19845366510123e+002dB,1.75615726943509e+002°)
1.39958732257261e+000	(1.19845250897387e+002dB,1.75605658904148e+002°)
1.40281370456195e+000	(1.19845134754105e+002dB,1.75595567922937e+002°)
1.40604752412990e+000	(1.19845018077855e+002dB,1.75585453948832e+002°)
1.40928879842186e+000	(1.19844900866207e+002dB,1.75575316930678e+002°)
1.41253754462274e+000	(1.19844783116717e+002dB,1.75565156817218e+002°)
1.41579377995707e+000	(1.19844664826936e+002dB,1.75554973557087e+002°)
1.41905752168908e+000	(1.19844545994394e+002dB,1.75544767098820e+002°)
1.42232878712281e+000	(1.19844426616620e+002dB,1.75534537390839e+002°)
1.42560759360218e+000	(1.19844306691125e+002dB,1.75524284381465e+002°)
1.42889395851109e+000	(1.19844186215411e+002dB,1.75514008018913e+002°)
1.43218789927353e+000	(1.19844065186973e+002dB,1.75503708251287e+002°)
1.43548943335364e+000	(1.19843943603289e+002dB,1.75493385026590e+002°)
1.43879857825583e+000	(1.19843821461821e+002dB,1.75483038292718e+002°)
1.44211535152486e+000	(1.19843698760033e+002dB,1.75472667997457e+002°)
1.44543977074592e+000	(1.19843575495371e+002dB,1.75462274088488e+002°)
1.44877185354475e+000	(1.19843451665260e+002dB,1.75451856513388e+002°)
1.45211161758773e+000	(1.19843327267133e+002dB,1.75441415219620e+002°)
1.45545908058195e+000	(1.19843202298398e+002dB,1.75430950154545e+002°)
1.45881426027534e+000	(1.19843076756448e+002dB,1.75420461265419e+002°)
1.46217717445671e+000	(1.19842950638677e+002dB,1.75409948499382e+002°)
1.46554784095590e+000	(1.19842823942460e+002dB,1.75399411803472e+002°)
1.46892627764385e+000	(1.19842696665158e+002dB,1.75388851124621e+002°)
1.47231250243271e+000	(1.19842568804127e+002dB,1.75378266409646e+002°)
1.47570653327588e+000	(1.19842440356704e+002dB,1.75367657605262e+002°)
1.47910838816819e+000	(1.19842311320218e+002dB,1.75357024658074e+002°)
1.48251808514594e+000	(1.19842181691985e+002dB,1.75346367514578e+002°)
1.48593564228699e+000	(1.19842051469310e+002dB,1.75335686121161e+002°)
1.48936107771090e+000	(1.19841920649482e+002dB,1.75324980424102e+002°)
1.49279440957898e+000	(1.19841789229785e+002dB,1.75314250369570e+002°)
1.49623565609442e+000	(1.19841657207486e+002dB,1.75303495903625e+002°)
1.49968483550236e+000	(1.19841524579835e+002dB,1.75292716972221e+002°)
1.50314196609001e+000	(1.19841391344082e+002dB,1.75281913521198e+002°)
1.50660706618673e+000	(1.19841257497453e+002dB,1.75271085496288e+002°)
1.51008015416413e+000	(1.19841123037169e+002dB,1.75260232843114e+002°)
1.51356124843619e+000	(1.19840987960433e+002dB,1.75249355507191e+002°)
1.51705036745932e+000	(1.19840852264441e+002dB,1.75238453433918e+002°)
1.52054752973248e+000	(1.19840715946371e+002dB,1.75227526568592e+002°)
1.52405275379728e+000	(1.19840579003393e+002dB,1.75216574856391e+002°)
1.52756605823806e+000	(1.19840441432658e+002dB,1.75205598242391e+002°)
1.53108746168202e+000	(1.19840303231313e+002dB,1.75194596671552e+002°)
1.53461698279928e+000	(1.19840164396484e+002dB,1.75183570088725e+002°)
1.53815464030302e+000	(1.19840024925293e+002dB,1.75172518438647e+002°)
1.54170045294954e+000	(1.19839884814837e+002dB,1.75161441665951e+002°)
1.54525443953840e+000	(1.19839744062210e+002dB,1.75150339715153e+002°)
1.54881661891247e+000	(1.19839602664491e+002dB,1.75139212530657e+002°)
1.55238700995807e+000	(1.19839460618743e+002dB,1.75128060056762e+002°)
1.55596563160506e+000	(1.19839317922017e+002dB,1.75116882237648e+002°)
1.55955250282694e+000	(1.19839174571349e+002dB,1.75105679017390e+002°)
1.56314764264094e+000	(1.19839030563770e+002dB,1.75094450339943e+002°)
1.56675107010813e+000	(1.19838885896286e+002dB,1.75083196149158e+002°)
1.57036280433354e+000	(1.19838740565899e+002dB,1.75071916388769e+002°)
1.57398286446620e+000	(1.19838594569593e+002dB,1.75060611002399e+002°)
1.57761126969933e+000	(1.19838447904335e+002dB,1.75049279933561e+002°)
1.58124803927037e+000	(1.19838300567086e+002dB,1.75037923125651e+002°)
1.58489319246110e+000	(1.19838152554791e+002dB,1.75026540521955e+002°)
1.58854674859776e+000	(1.19838003864379e+002dB,1.75015132065644e+002°)
1.59220872705115e+000	(1.19837854492765e+002dB,1.75003697699780e+002°)
1.59587914723672e+000	(1.19837704436856e+002dB,1.74992237367307e+002°)
1.59955802861465e+000	(1.19837553693538e+002dB,1.74980751011058e+002°)
1.60324539069002e+000	(1.19837402259686e+002dB,1.74969238573754e+002°)
1.60694125301286e+000	(1.19837250132160e+002dB,1.74957699998002e+002°)
1.61064563517825e+000	(1.19837097307811e+002dB,1.74946135226290e+002°)
1.61435855682647e+000	(1.19836943783469e+002dB,1.74934544200999e+002°)
1.61808003764305e+000	(1.19836789555950e+002dB,1.74922926864395e+002°)
1.62181009735891e+000	(1.19836634622063e+002dB,1.74911283158627e+002°)
1.62554875575047e+000	(1.19836478978599e+002dB,1.74899613025728e+002°)
1.62929603263970e+000	(1.19836322622327e+002dB,1.74887916407626e+002°)
1.63305194789432e+000	(1.19836165550017e+002dB,1.74876193246121e+002°)
1.63681652142779e+000	(1.19836007758409e+002dB,1.74864443482911e+002°)
1.64058977319952e+000	(1.19835849244237e+002dB,1.74852667059573e+002°)
1.64437172321491e+000	(1.19835690004220e+002dB,1.74840863917567e+002°)
1.64816239152549e+000	(1.19835530035064e+002dB,1.74829033998242e+002°)
1.65196179822900e+000	(1.19835369333449e+002dB,1.74817177242832e+002°)
1.65576996346951e+000	(1.19835207896058e+002dB,1.74805293592451e+002°)
1.65958690743754e+000	(1.19835045719545e+002dB,1.74793382988104e+002°)
1.66341265037015e+000	(1.19834882800550e+002dB,1.74781445370677e+002°)
1.66724721255104e+000	(1.19834719135711e+002dB,1.74769480680937e+002°)
1.67109061431069e+000	(1.19834554721634e+002dB,1.74757488859543e+002°)
1.67494287602642e+000	(1.19834389554920e+002dB,1.74745469847032e+002°)
1.67880401812254e+000	(1.19834223632155e+002dB,1.74733423583824e+002°)
1.68267406107045e+000	(1.19834056949904e+002dB,1.74721350010230e+002°)
1.68655302538872e+000	(1.19833889504722e+002dB,1.74709249066436e+002°)
1.69044093164324e+000	(1.19833721293145e+002dB,1.74697120692517e+002°)
1.69433780044731e+000	(1.19833552311696e+002dB,1.74684964828431e+002°)
1.69824365246172e+000	(1.19833382556880e+002dB,1.74672781414017e+002°)
1.70215850839493e+000	(1.19833212025190e+002dB,1.74660570389000e+002°)
1.70608238900310e+000	(1.19833040713100e+002dB,1.74648331692984e+002°)
1.71001531509027e+000	(1.19832868617074e+002dB,1.74636065265458e+002°)
1.71395730750840e+000	(1.19832695733548e+002dB,1.74623771045798e+002°)
1.71790838715757e+000	(1.19832522058956e+002dB,1.74611448973256e+002°)
1.72186857498599e+000	(1.19832347589708e+002dB,1.74599098986969e+002°)
1.72583789199018e+000	(1.19832172322204e+002dB,1.74586721025957e+002°)
1.72981635921508e+000	(1.19831996252816e+002dB,1.74574315029124e+002°)
1.73380399775412e+000	(1.19831819377912e+002dB,1.74561880935255e+002°)
1.73780082874935e+000	(1.19831641693843e+002dB,1.74549418683012e+002°)
1.74180687339159e+000	(1.19831463196940e+002dB,1.74536928210945e+002°)
1.74582215292048e+000	(1.19831283883512e+002dB,1.74524409457487e+002°)
1.74984668862464e+000	(1.19831103749863e+002dB,1.74511862360947e+002°)
1.75388050184174e+000	(1.19830922792277e+002dB,1.74499286859518e+002°)
1.75792361395867e+000	(1.19830741007014e+002dB,1.74486682891279e+002°)
1.76197604641161e+000	(1.19830558390327e+002dB,1.74474050394183e+002°)
1.76603782068614e+000	(1.19830374938449e+002dB,1.74461389306068e+002°)
1.77010895831740e+000	(1.19830190647594e+002dB,1.74448699564654e+002°)
1.77418948089014e+000	(1.19830005513960e+002dB,1.74435981107541e+002°)
1.77827941003890e+000	(1.19829819533735e+002dB,1.74423233872207e+002°)
1.78237876744807e+000	(1.19829632703076e+002dB,1.74410457796018e+002°)
1.78648757485203e+000	(1.19829445018136e+002dB,1.74397652816215e+002°)
1.79060585403527e+000	(1.19829256475045e+002dB,1.74384818869919e+002°)
1.79473362683250e+000	(1.19829067069915e+002dB,1.74371955894137e+002°)
1.79887091512876e+000	(1.19828876798846e+002dB,1.74359063825750e+002°)
1.80301774085955e+000	(1.19828685657914e+002dB,1.74346142601525e+002°)
1.80717412601090e+000	(1.19828493643181e+002dB,1.74333192158105e+002°)
1.81134009261958e+000	(1.19828300750694e+002dB,1.74320212432015e+002°)
1.81551566277311e+000	(1.19828106976479e+002dB,1.74307203359658e+002°)
1.81970085860996e+000	(1.19827912316543e+002dB,1.74294164877321e+002°)
1.82389570231961e+000	(1.19827716766878e+002dB,1.74281096921168e+002°)
1.82810021614272e+000	(1.19827520323459e+002dB,1.74267999427242e+002°)
1.83231442237119e+000	(1.19827322982242e+002dB,1.74254872331466e+002°)
1.83653834334832e+000	(1.19827124739161e+002dB,1.74241715569647e+002°)
1.84077200146893e+000	(1.19826925590143e+002dB,1.74228529077463e+002°)
1.84501541917945e+000	(1.19826725531083e+002dB,1.74215312790479e+002°)
1.84926861897805e+000	(1.19826524557868e+002dB,1.74202066644135e+002°)
1.85353162341479e+000	(1.19826322666361e+002dB,1.74188790573752e+002°)
1.85780445509167e+000	(1.19826119852411e+002dB,1.74175484514529e+002°)
1.86208713666284e+000	(1.19825916111850e+002dB,1.74162148401542e+002°)
1.86637969083464e+000	(1.19825711440483e+002dB,1.74148782169750e+002°)
1.87068214036577e+000	(1.19825505834103e+002dB,1.74135385753990e+002°)
1.87499450806739e+000	(1.19825299288483e+002dB,1.74121959088976e+002°)
1.87931681680324e+000	(1.19825091799377e+002dB,1.74108502109301e+002°)
1.88364908948977e+000	(1.19824883362524e+002dB,1.74095014749435e+002°)
1.88799134909627e+000	(1.19824673973636e+002dB,1.74081496943731e+002°)
1.89234361864495e+000	(1.19824463628413e+002dB,1.74067948626416e+002°)
1.89670592121112e+000	(1.19824252322536e+002dB,1.74054369731595e+002°)
1.90107827992327e+000	(1.19824040051662e+002dB,1.74040760193254e+002°)
1.90546071796322e+000	(1.19823826811430e+002dB,1.74027119945259e+002°)
1.90985325856621e+000	(1.19823612597465e+002dB,1.74013448921347e+002°)
1.91425592502106e+000	(1.19823397405365e+002dB,1.73999747055139e+002°)
1.91866874067026e+000	(1.19823181230717e+002dB,1.73986014280130e+002°)
1.92309172891013e+000	(1.19822964069079e+002dB,1.73972250529698e+002°)
1.92752491319091e+000	(1.19822745915996e+002dB,1.73958455737093e+002°)
1.93196831701690e+000	(1.19822526766999e+002dB,1.73944629835440e+002°)
1.93642196394658e+000	(1.19822306617580e+002dB,1.73930772757757e+002°)
1.94088587759275e+000	(1.19822085463230e+002dB,1.73916884436920e+002°)
1.94536008162263e+000	(1.19821863299411e+002dB,1.73902964805697e+002°)
1.94984459975802e+000	(1.19821640121572e+002dB,1.73889013796722e+002°)
1.95433945577537e+000	(1.19821415925127e+002dB,1.73875031342520e+002°)
1.95884467350596e+000	(1.19821190705490e+002dB,1.73861017375477e+002°)
1.96336027683602e+000	(1.19820964458039e+002dB,1.73846971827870e+002°)
1.96788628970682e+000	(1.19820737178142e+002dB,1.73832894631843e+002°)
1.97242273611482e+000	(1.19820508861138e+002dB,1.73818785719425e+002°)
1.97696964011183e+000	(1.19820279502350e+002dB,1.73804645022518e+002°)
1.98152702580507e+000	(1.19820049097082e+002dB,1.73790472472899e+002°)
1.98609491735734e+000	(1.19819817640610e+002dB,1.73776268002229e+002°)
1.99067333898716e+000	(1.19819585128203e+002dB,1.73762031542034e+002°)
1.99526231496885e+000	(1.19819351555091e+002dB,1.73747763023730e+002°)
1.99986186963271e+000	(1.19819116916500e+002dB,1.73733462378600e+002°)
2.00447202736513e+000	(1.19818881207625e+002dB,1.73719129537807e+002°)
2.00909281260870e+000	(1.19818644423641e+002dB,1.73704764432393e+002°)
2.01372424986236e+000	(1.19818406559705e+002dB,1.73690366993271e+002°)
2.01836636368153e+000	(1.19818167610951e+002dB,1.73675937151235e+002°)
2.02301917867824e+000	(1.19817927572487e+002dB,1.73661474836956e+002°)
2.02768271952125e+000	(1.19817686439412e+002dB,1.73646979980975e+002°)
2.03235701093619e+000	(1.19817444206788e+002dB,1.73632452513719e+002°)
2.03704207770569e+000	(1.19817200869669e+002dB,1.73617892365481e+002°)
2.04173794466950e+000	(1.19816956423078e+002dB,1.73603299466437e+002°)
2.04644463672464e+000	(1.19816710862021e+002dB,1.73588673746637e+002°)
2.05116217882553e+000	(1.19816464181477e+002dB,1.73574015136010e+002°)
2.05589059598411e+000	(1.19816216376410e+002dB,1.73559323564355e+002°)
2.06062991326997e+000	(1.19815967441757e+002dB,1.73544598961353e+002°)
2.06538015581050e+000	(1.19815717372433e+002dB,1.73529841256558e+002°)
2.07014134879101e+000	(1.19815466163334e+002dB,1.73515050379401e+002°)
2.07491351745488e+000	(1.19815213809328e+002dB,1.73500226259191e+002°)
2.07969668710366e+000	(1.19814960305269e+002dB,1.73485368825106e+002°)
2.08449088309726e+000	(1.19814705645981e+002dB,1.73470478006206e+002°)
2.08929613085401e+000	(1.19814449826265e+002dB,1.73455553731430e+002°)
2.09411245585086e+000	(1.19814192840906e+002dB,1.73440595929584e+002°)
2.09893988362349e+000	(1.19813934684661e+002dB,1.73425604529355e+002°)
2.10377843976644e+000	(1.19813675352263e+002dB,1.73410579459307e+002°)
2.10862814993326e+000	(1.19813414838424e+002dB,1.73395520647878e+002°)
2.11348903983661e+000	(1.19813153137839e+002dB,1.73380428023377e+002°)
2.11836113524847e+000	(1.19812890245166e+002dB,1.73365301514000e+002°)
2.12324446200018e+000	(1.19812626155055e+002dB,1.73350141047806e+002°)
2.12813904598268e+000	(1.19812360862118e+002dB,1.73334946552742e+002°)
2.13304491314654e+000	(1.19812094360955e+002dB,1.73319717956621e+002°)
2.13796208950220e+000	(1.19811826646138e+002dB,1.73304455187135e+002°)
2.14289060112002e+000	(1.19811557712213e+002dB,1.73289158171854e+002°)
2.14783047413050e+000	(1.19811287553706e+002dB,1.73273826838221e+002°)
2.15278173472434e+000	(1.19811016165120e+002dB,1.73258461113552e+002°)
2.15774440915263e+000	(1.19810743540922e+002dB,1.73243060925052e+002°)
2.16271852372698e+000	(1.19810469675576e+002dB,1.73227626199782e+002°)
2.16770410481966e+000	(1.19810194563506e+002dB,1.73212156864691e+002°)
2.17270117886371e+000	(1.19809918199111e+002dB,1.73196652846607e+002°)
2.17770977235312e+000	(1.19809640576781e+002dB,1.73181114072218e+002°)
2.18272991184296e+000	(1.19809361690860e+002dB,1.73165540468106e+002°)
2.18776162394952e+000	(1.19809081535682e+002dB,1.73149931960719e+002°)
2.19280493535041e+000	(1.19808800105559e+002dB,1.73134288476377e+002°)
2.19785987278479e+000	(1.19808517394766e+002dB,1.73118609941285e+002°)
2.20292646305342e+000	(1.19808233397562e+002dB,1.73102896281518e+002°)
2.20800473301886e+000	(1.19807948108174e+002dB,1.73087147423029e+002°)
2.21309470960560e+000	(1.19807661520813e+002dB,1.73071363291646e+002°)
2.21819641980018e+000	(1.19807373629658e+002dB,1.73055543813071e+002°)
2.22330989065136e+000	(1.19807084428862e+002dB,1.73039688912887e+002°)
2.22843514927026e+000	(1.19806793912557e+002dB,1.73023798516547e+002°)
2.23357222283049e+000	(1.19806502074851e+002dB,1.73007872549381e+002°)
2.23872113856830e+000	(1.19806208909814e+002dB,1.72991910936602e+002°)
2.24388192378273e+000	(1.19805914411508e+002dB,1.72975913603286e+002°)
2.24905460583574e+000	(1.19805618573958e+002dB,1.72959880474395e+002°)
2.25423921215239e+000	(1.19805321391164e+002dB,1.72943811474765e+002°)
2.25943577022094e+000	(1.19805022857103e+002dB,1.72927706529105e+002°)
2.26464430759302e+000	(1.19804722965725e+002dB,1.72911565562003e+002°)
2.26986485188378e+000	(1.19804421710951e+002dB,1.72895388497921e+002°)
2.27509743077203e+000	(1.19804119086677e+002dB,1.72879175261201e+002°)
2.28034207200038e+000	(1.19803815086775e+002dB,1.72862925776056e+002°)
2.28559880337539e+000	(1.19803509705091e+002dB,1.72846639966577e+002°)
2.29086765276773e+000	(1.19803202935442e+002dB,1.72830317756731e+002°)
2.29614864811232e+000	(1.19802894771611e+002dB,1.72813959070368e+002°)
2.30144181740847e+000	(1.19802585207370e+002dB,1.72797563831202e+002°)
2.30674718872003e+000	(1.19802274236452e+002dB,1.72781131962831e+002°)
2.31206479017555e+000	(1.19801961852566e+002dB,1.72764663388731e+002°)
2.31739464996844e+000	(1.19801648049393e+002dB,1.72748158032251e+002°)
2.32273679635706e+000	(1.19801332820589e+002dB,1.72731615816618e+002°)
