Freq.	V(vi)/i(G82)
2.69153480392691e+000	(8.53715592714362e+001dB,1.79999848831601e+002°)
2.75422870333816e+000	(8.53715592636094e+001dB,1.79999845310448e+002°)
2.81838293126445e+000	(8.53715592554137e+001dB,1.79999841707278e+002°)
2.88403150312660e+000	(8.53715592468318e+001dB,1.79999838020180e+002°)
2.95120922666638e+000	(8.53715592378455e+001dB,1.79999834247199e+002°)
3.01995172040201e+000	(8.53715592284356e+001dB,1.79999830386336e+002°)
3.09029543251359e+000	(8.53715592185822e+001dB,1.79999826435542e+002°)
3.16227766016837e+000	(8.53715592082645e+001dB,1.79999822392724e+002°)
3.23593656929628e+000	(8.53715591974605e+001dB,1.79999818255737e+002°)
3.31131121482591e+000	(8.53715591861473e+001dB,1.79999814022390e+002°)
3.38844156139202e+000	(8.53715591743010e+001dB,1.79999809690436e+002°)
3.46736850452531e+000	(8.53715591618963e+001dB,1.79999805257580e+002°)
3.54813389233575e+000	(8.53715591489071e+001dB,1.79999800721471e+002°)
3.63078054770101e+000	(8.53715591353057e+001dB,1.79999796079704e+002°)
3.71535229097172e+000	(8.53715591210633e+001dB,1.79999791329818e+002°)
3.80189396320560e+000	(8.53715591061496e+001dB,1.79999786469295e+002°)
3.89045144994280e+000	(8.53715590905331e+001dB,1.79999781495558e+002°)
3.98107170553496e+000	(8.53715590741806e+001dB,1.79999776405971e+002°)
4.07380277804112e+000	(8.53715590570574e+001dB,1.79999771197834e+002°)
4.16869383470335e+000	(8.53715590391272e+001dB,1.79999765868386e+002°)
4.26579518801592e+000	(8.53715590203521e+001dB,1.79999760414803e+002°)
4.36515832240165e+000	(8.53715590006920e+001dB,1.79999754834193e+002°)
4.46683592150962e+000	(8.53715589801054e+001dB,1.79999749123596e+002°)
4.57088189614874e+000	(8.53715589585487e+001dB,1.79999743279987e+002°)
4.67735141287197e+000	(8.53715589359759e+001dB,1.79999737300266e+002°)
4.78630092322637e+000	(8.53715589123394e+001dB,1.79999731181263e+002°)
4.89778819368445e+000	(8.53715588875889e+001dB,1.79999724919735e+002°)
5.01187233627271e+000	(8.53715588616719e+001dB,1.79999718512361e+002°)
5.12861383991364e+000	(8.53715588345335e+001dB,1.79999711955746e+002°)
5.24807460249771e+000	(8.53715588061161e+001dB,1.79999705246413e+002°)
5.37031796370252e+000	(8.53715587763595e+001dB,1.79999698380805e+002°)
5.49540873857623e+000	(8.53715587452004e+001dB,1.79999691355282e+002°)
5.62341325190348e+000	(8.53715587125729e+001dB,1.79999684166121e+002°)
5.75439937337156e+000	(8.53715586784077e+001dB,1.79999676809509e+002°)
5.88843655355588e+000	(8.53715586426323e+001dB,1.79999669281548e+002°)
6.02559586074356e+000	(8.53715586051709e+001dB,1.79999661578246e+002°)
6.16595001861481e+000	(8.53715585659440e+001dB,1.79999653695519e+002°)
6.30957344480192e+000	(8.53715585248683e+001dB,1.79999645629189e+002°)
6.45654229034654e+000	(8.53715584818569e+001dB,1.79999637374980e+002°)
6.60693448007594e+000	(8.53715584368184e+001dB,1.79999628928517e+002°)
6.76082975391980e+000	(8.53715583896573e+001dB,1.79999620285321e+002°)
6.91830970918935e+000	(8.53715583402735e+001dB,1.79999611440812e+002°)
7.07945784384136e+000	(8.53715582885624e+001dB,1.79999602390301e+002°)
7.24435960074988e+000	(8.53715582344142e+001dB,1.79999593128990e+002°)
7.41310241300916e+000	(8.53715581777140e+001dB,1.79999583651970e+002°)
7.58577575029182e+000	(8.53715581183417e+001dB,1.79999573954218e+002°)
7.76247116628690e+000	(8.53715580561712e+001dB,1.79999564030594e+002°)
7.94328234724279e+000	(8.53715579910708e+001dB,1.79999553875837e+002°)
8.12830516164097e+000	(8.53715579229022e+001dB,1.79999543484565e+002°)
8.31763771102669e+000	(8.53715578515210e+001dB,1.79999532851271e+002°)
8.51138038202374e+000	(8.53715577767757e+001dB,1.79999521970318e+002°)
8.70963589956078e+000	(8.53715576985077e+001dB,1.79999510835939e+002°)
8.91250938133743e+000	(8.53715576165511e+001dB,1.79999499442232e+002°)
9.12010839355907e+000	(8.53715575307320e+001dB,1.79999487783161e+002°)
9.33254300796988e+000	(8.53715574408683e+001dB,1.79999475852544e+002°)
9.54992586021433e+000	(8.53715573467695e+001dB,1.79999463644060e+002°)
9.77237220955808e+000	(8.53715572482360e+001dB,1.79999451151237e+002°)
9.99999999999997e+000	(8.53715571450587e+001dB,1.79999438367456e+002°)
1.02329299228075e+001	(8.53715570370189e+001dB,1.79999425285942e+002°)
1.04712854805090e+001	(8.53715569238873e+001dB,1.79999411899762e+002°)
1.07151930523760e+001	(8.53715568054240e+001dB,1.79999398201823e+002°)
1.09647819614318e+001	(8.53715566813776e+001dB,1.79999384184867e+002°)
1.12201845430196e+001	(8.53715565514852e+001dB,1.79999369841465e+002°)
1.14815362149688e+001	(8.53715564154711e+001dB,1.79999355164018e+002°)
1.17489755493953e+001	(8.53715562730468e+001dB,1.79999340144749e+002°)
1.20226443461741e+001	(8.53715561239103e+001dB,1.79999324775700e+002°)
1.23026877081238e+001	(8.53715559677453e+001dB,1.79999309048727e+002°)
1.25892541179416e+001	(8.53715558042204e+001dB,1.79999292955500e+002°)
1.28824955169313e+001	(8.53715556329888e+001dB,1.79999276487492e+002°)
1.31825673855640e+001	(8.53715554536874e+001dB,1.79999259635978e+002°)
1.34896288259165e+001	(8.53715552659357e+001dB,1.79999242392032e+002°)
1.38038426460288e+001	(8.53715550693356e+001dB,1.79999224746520e+002°)
1.41253754462275e+001	(8.53715548634700e+001dB,1.79999206690094e+002°)
1.44543977074592e+001	(8.53715546479022e+001dB,1.79999188213190e+002°)
1.47910838816820e+001	(8.53715544221751e+001dB,1.79999169306023e+002°)
1.51356124843620e+001	(8.53715541858098e+001dB,1.79999149958578e+002°)
1.54881661891248e+001	(8.53715539383050e+001dB,1.79999130160609e+002°)
1.58489319246111e+001	(8.53715536791356e+001dB,1.79999109901633e+002°)
1.62181009735892e+001	(8.53715534077520e+001dB,1.79999089170920e+002°)
1.65958690743755e+001	(8.53715531235785e+001dB,1.79999067957495e+002°)
1.69824365246174e+001	(8.53715528260123e+001dB,1.79999046250125e+002°)
1.73780082874937e+001	(8.53715525144222e+001dB,1.79999024037317e+002°)
1.77827941003892e+001	(8.53715521881474e+001dB,1.79999001307313e+002°)
1.81970085860998e+001	(8.53715518464958e+001dB,1.79998978048080e+002°)
1.86208713666286e+001	(8.53715514887427e+001dB,1.79998954247307e+002°)
1.90546071796324e+001	(8.53715511141292e+001dB,1.79998929892395e+002°)
1.94984459975804e+001	(8.53715507218607e+001dB,1.79998904970457e+002°)
1.99526231496887e+001	(8.53715503111052e+001dB,1.79998879468303e+002°)
2.04173794466952e+001	(8.53715498809915e+001dB,1.79998853372439e+002°)
2.08929613085403e+001	(8.53715494306072e+001dB,1.79998826669059e+002°)
2.13796208950222e+001	(8.53715489589970e+001dB,1.79998799344036e+002°)
2.18776162394954e+001	(8.53715484651605e+001dB,1.79998771382914e+002°)
2.23872113856833e+001	(8.53715479480502e+001dB,1.79998742770906e+002°)
2.29086765276776e+001	(8.53715474065694e+001dB,1.79998713492878e+002°)
2.34422881531991e+001	(8.53715468395695e+001dB,1.79998683533350e+002°)
2.39883291901948e+001	(8.53715462458477e+001dB,1.79998652876481e+002°)
2.45470891568502e+001	(8.53715456241448e+001dB,1.79998621506064e+002°)
2.51188643150957e+001	(8.53715449731420e+001dB,1.79998589405516e+002°)
2.57039578276885e+001	(8.53715442914585e+001dB,1.79998556557873e+002°)
2.63026799189537e+001	(8.53715435776484e+001dB,1.79998522945776e+002°)
2.69153480392690e+001	(8.53715428301975e+001dB,1.79998488551468e+002°)
2.75422870333815e+001	(8.53715420475205e+001dB,1.79998453356779e+002°)
2.81838293126444e+001	(8.53715412279572e+001dB,1.79998417343121e+002°)
2.88403150312659e+001	(8.53715403697692e+001dB,1.79998380491476e+002°)
2.95120922666637e+001	(8.53715394711363e+001dB,1.79998342782388e+002°)
3.01995172040200e+001	(8.53715385301523e+001dB,1.79998304195951e+002°)
3.09029543251358e+001	(8.53715375448213e+001dB,1.79998264711802e+002°)
3.16227766016837e+001	(8.53715365130533e+001dB,1.79998224309108e+002°)
3.23593656929627e+001	(8.53715354326598e+001dB,1.79998182966556e+002°)
3.31131121482590e+001	(8.53715343013492e+001dB,1.79998140662343e+002°)
3.38844156139201e+001	(8.53715331167220e+001dB,1.79998097374164e+002°)
3.46736850452530e+001	(8.53715318762652e+001dB,1.79998053079201e+002°)
3.54813389233574e+001	(8.53715305773480e+001dB,1.79998007754112e+002°)
3.63078054770100e+001	(8.53715292172150e+001dB,1.79997961375020e+002°)
3.71535229097171e+001	(8.53715277929814e+001dB,1.79997913917500e+002°)
3.80189396320559e+001	(8.53715263016261e+001dB,1.79997865356566e+002°)
3.89045144994279e+001	(8.53715247399861e+001dB,1.79997815666660e+002°)
3.98107170553495e+001	(8.53715231047487e+001dB,1.79997764821639e+002°)
4.07380277804111e+001	(8.53715213924457e+001dB,1.79997712794763e+002°)
4.16869383470333e+001	(8.53715195994450e+001dB,1.79997659558681e+002°)
4.26579518801591e+001	(8.53715177219435e+001dB,1.79997605085414e+002°)
4.36515832240164e+001	(8.53715157559589e+001dB,1.79997549346351e+002°)
4.46683592150961e+001	(8.53715136973213e+001dB,1.79997492312223e+002°)
4.57088189614873e+001	(8.53715115416640e+001dB,1.79997433953100e+002°)
4.67735141287196e+001	(8.53715092844149e+001dB,1.79997374238367e+002°)
4.78630092322636e+001	(8.53715069207861e+001dB,1.79997313136718e+002°)
4.89778819368444e+001	(8.53715044457642e+001dB,1.79997250616133e+002°)
5.01187233627270e+001	(8.53715018540996e+001dB,1.79997186643870e+002°)
5.12861383991362e+001	(8.53714991402952e+001dB,1.79997121186445e+002°)
5.24807460249770e+001	(8.53714962985949e+001dB,1.79997054209617e+002°)
5.37031796370250e+001	(8.53714933229713e+001dB,1.79996985678373e+002°)
5.49540873857622e+001	(8.53714902071129e+001dB,1.79996915556913e+002°)
5.62341325190346e+001	(8.53714869444110e+001dB,1.79996843808631e+002°)
5.75439937337154e+001	(8.53714835279452e+001dB,1.79996770396099e+002°)
5.88843655355586e+001	(8.53714799504691e+001dB,1.79996695281050e+002°)
6.02559586074355e+001	(8.53714762043948e+001dB,1.79996618424365e+002°)
6.16595001861479e+001	(8.53714722817768e+001dB,1.79996539786047e+002°)
6.30957344480190e+001	(8.53714681742951e+001dB,1.79996459325211e+002°)
6.45654229034652e+001	(8.53714638732378e+001dB,1.79996377000065e+002°)
6.60693448007593e+001	(8.53714593694823e+001dB,1.79996292767888e+002°)
6.76082975391978e+001	(8.53714546534761e+001dB,1.79996206585016e+002°)
6.91830970918933e+001	(8.53714497152167e+001dB,1.79996118406820e+002°)
7.07945784384134e+001	(8.53714445442301e+001dB,1.79996028187692e+002°)
7.24435960074986e+001	(8.53714391295487e+001dB,1.79995935881022e+002°)
7.41310241300914e+001	(8.53714334596882e+001dB,1.79995841439181e+002°)
7.58577575029180e+001	(8.53714275226231e+001dB,1.79995744813503e+002°)
7.76247116628688e+001	(8.53714213057610e+001dB,1.79995645954263e+002°)
7.94328234724277e+001	(8.53714147959165e+001dB,1.79995544810661e+002°)
8.12830516164095e+001	(8.53714079792824e+001dB,1.79995441330801e+002°)
8.31763771102667e+001	(8.53714008414013e+001dB,1.79995335461671e+002°)
8.51138038202372e+001	(8.53713933671343e+001dB,1.79995227149128e+002°)
8.70963589956076e+001	(8.53713855406293e+001dB,1.79995116337871e+002°)
8.91250938133741e+001	(8.53713773452869e+001dB,1.79995002971431e+002°)
9.12010839355905e+001	(8.53713687637259e+001dB,1.79994886992145e+002°)
9.33254300796986e+001	(8.53713597777458e+001dB,1.79994768341140e+002°)
9.54992586021431e+001	(8.53713503682887e+001dB,1.79994646958313e+002°)
9.77237220955805e+001	(8.53713405153985e+001dB,1.79994522782316e+002°)
9.99999999999995e+001	(8.53713301981790e+001dB,1.79994395750533e+002°)
1.02329299228075e+002	(8.53713193947492e+001dB,1.79994265799065e+002°)
1.04712854805089e+002	(8.53713080821970e+001dB,1.79994132862712e+002°)
1.07151930523760e+002	(8.53712962365311e+001dB,1.79993996874956e+002°)
1.09647819614318e+002	(8.53712838326294e+001dB,1.79993857767946e+002°)
1.12201845430196e+002	(8.53712708441863e+001dB,1.79993715472479e+002°)
1.14815362149688e+002	(8.53712572436568e+001dB,1.79993569917990e+002°)
1.17489755493952e+002	(8.53712430021980e+001dB,1.79993421032533e+002°)
1.20226443461741e+002	(8.53712280896080e+001dB,1.79993268742770e+002°)
1.23026877081237e+002	(8.53712124742621e+001dB,1.79993112973960e+002°)
1.25892541179416e+002	(8.53711961230454e+001dB,1.79992953649945e+002°)
1.28824955169313e+002	(8.53711790012830e+001dB,1.79992790693145e+002°)
1.31825673855640e+002	(8.53711610726664e+001dB,1.79992624024543e+002°)
1.34896288259165e+002	(8.53711422991765e+001dB,1.79992453563686e+002°)
1.38038426460288e+002	(8.53711226410028e+001dB,1.79992279228675e+002°)
1.41253754462275e+002	(8.53711020564596e+001dB,1.79992100936162e+002°)
1.44543977074592e+002	(8.53710805018973e+001dB,1.79991918601354e+002°)
1.47910838816820e+002	(8.53710579316101e+001dB,1.79991732138008e+002°)
1.51356124843620e+002	(8.53710342977389e+001dB,1.79991541458440e+002°)
1.54881661891247e+002	(8.53710095501702e+001dB,1.79991346473532e+002°)
1.58489319246110e+002	(8.53709836364298e+001dB,1.79991147092736e+002°)
1.62181009735892e+002	(8.53709565015719e+001dB,1.79990943224094e+002°)
1.65958690743755e+002	(8.53709280880623e+001dB,1.79990734774253e+002°)
1.69824365246173e+002	(8.53708983356569e+001dB,1.79990521648485e+002°)
1.73780082874936e+002	(8.53708671812739e+001dB,1.79990303750712e+002°)
1.77827941003891e+002	(8.53708345588604e+001dB,1.79990080983535e+002°)
1.81970085860997e+002	(8.53708003992526e+001dB,1.79989853248274e+002°)
1.86208713666286e+002	(8.53707646300291e+001dB,1.79989620445001e+002°)
1.90546071796323e+002	(8.53707271753578e+001dB,1.79989382472593e+002°)
1.94984459975803e+002	(8.53706879558352e+001dB,1.79989139228781e+002°)
1.99526231496887e+002	(8.53706468883187e+001dB,1.79988890610211e+002°)
2.04173794466952e+002	(8.53706038857503e+001dB,1.79988636512514e+002°)
2.08929613085403e+002	(8.53705588569723e+001dB,1.79988376830375e+002°)
2.13796208950222e+002	(8.53705117065350e+001dB,1.79988111457627e+002°)
2.18776162394954e+002	(8.53704623344940e+001dB,1.79987840287338e+002°)
2.23872113856832e+002	(8.53704106361993e+001dB,1.79987563211917e+002°)
2.29086765276776e+002	(8.53703565020739e+001dB,1.79987280123234e+002°)
2.34422881531991e+002	(8.53702998173819e+001dB,1.79986990912742e+002°)
2.39883291901947e+002	(8.53702404619860e+001dB,1.79986695471620e+002°)
2.45470891568501e+002	(8.53701783100935e+001dB,1.79986393690933e+002°)
2.51188643150956e+002	(8.53701132299904e+001dB,1.79986085461793e+002°)
2.57039578276885e+002	(8.53700450837630e+001dB,1.79985770675553e+002°)
2.63026799189536e+002	(8.53699737270065e+001dB,1.79985449224007e+002°)
2.69153480392690e+002	(8.53698990085198e+001dB,1.79985120999616e+002°)
2.75422870333815e+002	(8.53698207699865e+001dB,1.79984785895748e+002°)
2.81838293126443e+002	(8.53697388456399e+001dB,1.79984443806948e+002°)
2.88403150312659e+002	(8.53696530619135e+001dB,1.79984094629222e+002°)
2.95120922666637e+002	(8.53695632370745e+001dB,1.79983738260356e+002°)
3.01995172040200e+002	(8.53694691808401e+001dB,1.79983374600256e+002°)
3.09029543251357e+002	(8.53693706939761e+001dB,1.79983003551320e+002°)
3.16227766016836e+002	(8.53692675678767e+001dB,1.79982625018841e+002°)
3.23593656929626e+002	(8.53691595841242e+001dB,1.79982238911444e+002°)
3.31131121482589e+002	(8.53690465140289e+001dB,1.79981845141563e+002°)
3.38844156139200e+002	(8.53689281181470e+001dB,1.79981443625951e+002°)
3.46736850452529e+002	(8.53688041457758e+001dB,1.79981034286236e+002°)
3.54813389233573e+002	(8.53686743344258e+001dB,1.79980617049527e+002°)
3.63078054770099e+002	(8.53685384092681e+001dB,1.79980191849059e+002°)
3.71535229097170e+002	(8.53683960825554e+001dB,1.79979758624899e+002°)
3.80189396320558e+002	(8.53682470530171e+001dB,1.79979317324706e+002°)
3.89045144994278e+002	(8.53680910052250e+001dB,1.79978867904549e+002°)
3.98107170553494e+002	(8.53679276089305e+001dB,1.79978410329797e+002°)
4.07380277804110e+002	(8.53677565183703e+001dB,1.79977944576070e+002°)
4.16869383470332e+002	(8.53675773715402e+001dB,1.79977470630271e+002°)
4.26579518801589e+002	(8.53673897894345e+001dB,1.79976988491702e+002°)
4.36515832240163e+002	(8.53671933752510e+001dB,1.79976498173255e+002°)
4.46683592150960e+002	(8.53669877135586e+001dB,1.79975999702712e+002°)
4.57088189614872e+002	(8.53667723694257e+001dB,1.79975493124131e+002°)
4.67735141287195e+002	(8.53665468875097e+001dB,1.79974978499345e+002°)
4.78630092322635e+002	(8.53663107911024e+001dB,1.79974455909581e+002°)
4.89778819368443e+002	(8.53660635811333e+001dB,1.79973925457193e+002°)
5.01187233627268e+002	(8.53658047351249e+001dB,1.79973387267538e+002°)
5.12861383991361e+002	(8.53655337061012e+001dB,1.79972841490983e+002°)
5.24807460249769e+002	(8.53652499214447e+001dB,1.79972288305078e+002°)
5.37031796370249e+002	(8.53649527817018e+001dB,1.79971727916882e+002°)
5.49540873857620e+002	(8.53646416593325e+001dB,1.79971160565471e+002°)
5.62341325190345e+002	(8.53643158974025e+001dB,1.79970586524636e+002°)
5.75439937337152e+002	(8.53639748082157e+001dB,1.79970006105778e+002°)
5.88843655355584e+002	(8.53636176718839e+001dB,1.79969419661026e+002°)
6.02559586074353e+002	(8.53632437348306e+001dB,1.79968827586590e+002°)
6.16595001861477e+002	(8.53628522082265e+001dB,1.79968230326357e+002°)
6.30957344480188e+002	(8.53624422663539e+001dB,1.79967628375762e+002°)
6.45654229034650e+002	(8.53620130448963e+001dB,1.79967022285948e+002°)
6.60693448007591e+002	(8.53615636391498e+001dB,1.79966412668232e+002°)
6.76082975391976e+002	(8.53610931021537e+001dB,1.79965800198905e+002°)
6.91830970918931e+002	(8.53606004427360e+001dB,1.79965185624389e+002°)
7.07945784384132e+002	(8.53600846234709e+001dB,1.79964569766775e+002°)
7.24435960074984e+002	(8.53595445585433e+001dB,1.79963953529773e+002°)
7.41310241300911e+002	(8.53589791115177e+001dB,1.79963337905100e+002°)
7.58577575029177e+002	(8.53583870930065e+001dB,1.79962723979340e+002°)
7.76247116628685e+002	(8.53577672582338e+001dB,1.79962112941315e+002°)
7.94328234724275e+002	(8.53571183044904e+001dB,1.79961506089994e+002°)
8.12830516164092e+002	(8.53564388684748e+001dB,1.79960904842988e+002°)
8.31763771102664e+002	(8.53557275235165e+001dB,1.79960310745671e+002°)
8.51138038202369e+002	(8.53549827766759e+001dB,1.79959725480971e+002°)
8.70963589956073e+002	(8.53542030657163e+001dB,1.79959150879882e+002°)
8.91250938133738e+002	(8.53533867559426e+001dB,1.79958588932748e+002°)
9.12010839355902e+002	(8.53525321369007e+001dB,1.79958041801378e+002°)
9.33254300796983e+002	(8.53516374189341e+001dB,1.79957511832049e+002°)
9.54992586021428e+002	(8.53507007295896e+001dB,1.79957001569464e+002°)
9.77237220955802e+002	(8.53497201098678e+001dB,1.79956513771734e+002°)
9.99999999999991e+002	(8.53486935103123e+001dB,1.79956051426461e+002°)
1.02329299228075e+003	(8.53476187869310e+001dB,1.79955617768000e+002°)
1.04712854805089e+003	(8.53464936969442e+001dB,1.79955216295983e+002°)
1.07151930523760e+003	(8.53453158943517e+001dB,1.79954850795208e+002°)
1.09647819614318e+003	(8.53440829253147e+001dB,1.79954525356981e+002°)
1.12201845430195e+003	(8.53427922233433e+001dB,1.79954244402023e+002°)
1.14815362149687e+003	(8.53414411042860e+001dB,1.79954012705060e+002°)
1.17489755493952e+003	(8.53400267611116e+001dB,1.79953835421209e+002°)
1.20226443461740e+003	(8.53385462584790e+001dB,1.79953718114305e+002°)
1.23026877081237e+003	(8.53369965270881e+001dB,1.79953666787301e+002°)
1.25892541179416e+003	(8.53353743578039e+001dB,1.79953687914896e+002°)
1.28824955169312e+003	(8.53336763955484e+001dB,1.79953788478560e+002°)
1.31825673855640e+003	(8.53318991329544e+001dB,1.79953976004124e+002°)
1.34896288259164e+003	(8.53300389037733e+001dB,1.79954258602128e+002°)
1.38038426460287e+003	(8.53280918760337e+001dB,1.79954645011133e+002°)
1.41253754462274e+003	(8.53260540449418e+001dB,1.79955144644210e+002°)
1.44543977074591e+003	(8.53239212255225e+001dB,1.79955767638841e+002°)
1.47910838816819e+003	(8.53216890449930e+001dB,1.79956524910490e+002°)
1.51356124843619e+003	(8.53193529348674e+001dB,1.79957428210104e+002°)
1.54881661891247e+003	(8.53169081227875e+001dB,1.79958490185847e+002°)
1.58489319246110e+003	(8.53143496240787e+001dB,1.79959724449370e+002°)
1.62181009735891e+003	(8.53116722330293e+001dB,1.79961145646955e+002°)
1.65958690743754e+003	(8.53088705138924e+001dB,1.79962769535901e+002°)
1.69824365246173e+003	(8.53059387916135e+001dB,1.79964613066529e+002°)
1.73780082874936e+003	(8.53028711422850e+001dB,1.79966694470226e+002°)
1.77827941003891e+003	(8.52996613833349e+001dB,1.79969033353987e+002°)
1.81970085860997e+003	(8.52963030634546e+001dB,1.79971650801920e+002°)
1.86208713666285e+003	(8.52927894522779e+001dB,1.79974569484236e+002°)
1.90546071796323e+003	(8.52891135298230e+001dB,1.79977813774290e+002°)
1.94984459975803e+003	(8.52852679757145e+001dB,1.79981409874255e+002°)
1.99526231496886e+003	(8.52812451582045e+001dB,1.79985385950082e+002°)
2.04173794466951e+003	(8.52770371230206e+001dB,1.79989772276423e+002°)
2.08929613085402e+003	(8.52726355820666e+001dB,1.79994601392270e+002°)
2.13796208950221e+003	(8.52680319020158e+001dB,1.79999908268094e+002°)
2.18776162394953e+003	(8.52632170928374e+001dB,-1.79994269514666e+002°)
2.23872113856832e+003	(8.52581817963059e+001dB,-1.79987891570837e+002°)
2.29086765276775e+003	(8.52529162745542e+001dB,-1.79980914504504e+002°)
2.34422881531990e+003	(8.52474103987373e+001dB,-1.79973291686699e+002°)
2.39883291901947e+003	(8.52416536378872e+001dB,-1.79964973016672e+002°)
2.45470891568501e+003	(8.52356350480526e+001dB,-1.79955904665516e+002°)
2.51188643150955e+003	(8.52293432618282e+001dB,-1.79946028800892e+002°)
2.57039578276884e+003	(8.52227664783989e+001dB,-1.79935283291439e+002°)
2.63026799189535e+003	(8.52158924542399e+001dB,-1.79923601389415e+002°)
2.69153480392689e+003	(8.52087084946354e+001dB,-1.79910911390000e+002°)
2.75422870333814e+003	(8.52012014462022e+001dB,-1.79897136265575e+002°)
2.81838293126442e+003	(8.51933576906321e+001dB,-1.79882193273197e+002°)
2.88403150312658e+003	(8.51851631398957e+001dB,-1.79865993533382e+002°)
2.95120922666635e+003	(8.51766032331868e+001dB,-1.79848441578185e+002°)
3.01995172040198e+003	(8.51676629359221e+001dB,-1.79829434866447e+002°)
3.09029543251356e+003	(8.51583267411586e+001dB,-1.79808863263976e+002°)
3.16227766016835e+003	(8.51485786738378e+001dB,-1.79786608486290e+002°)
3.23593656929625e+003	(8.51384022983212e+001dB,-1.79762543501469e+002°)
3.31131121482588e+003	(8.51277807297479e+001dB,-1.79736531890505e+002°)
3.38844156139199e+003	(8.51166966498114e+001dB,-1.79708427162491e+002°)
3.46736850452528e+003	(8.51051323276368e+001dB,-1.79678072021870e+002°)
3.54813389233572e+003	(8.50930696465261e+001dB,-1.79645297584898e+002°)
3.63078054770097e+003	(8.50804901374423e+001dB,-1.79609922542442e+002°)
3.71535229097168e+003	(8.50673750202165e+001dB,-1.79571752266209e+002°)
3.80189396320557e+003	(8.50537052535872e+001dB,-1.79530577855539e+002°)
3.89045144994276e+003	(8.50394615953263e+001dB,-1.79486175121966e+002°)
3.98107170553493e+003	(8.50246246738639e+001dB,-1.79438303508904e+002°)
4.07380277804108e+003	(8.50091750730012e+001dB,-1.79386704944058e+002°)
4.16869383470331e+003	(8.49930934315006e+001dB,-1.79331102622482e+002°)
4.26579518801588e+003	(8.49763605595589e+001dB,-1.79271199718683e+002°)
4.36515832240161e+003	(8.49589575744154e+001dB,-1.79206678026808e+002°)
4.46683592150958e+003	(8.49408660576124e+001dB,-1.79137196528746e+002°)
